a,p,b,c,x,f
6,0.25,4,32,0.2704217944326391,35.24506153319167
3,0.3333333333333333,8,36,0.044194173824159244,36.707106781186546
12,0.5,3,17,4.0,29.0
8,0.3333333333333333,2,-18,1.5396007178390019,-11.841597128643992
20,0.5,5,-48,4.0,-28.0
12,0.5,8,-38,0.5625000000000001,-33.5
19,0.5,2,40,22.562500000000004,85.125
17,0.3333333333333333,6,-29,0.9178350204849084,-17.985979754181102
18,0.75,1,28,33215.06250000001,11099.6875
1,0.6666666666666666,1,10,0.29629629629629634,10.148148148148149
7,0.25,3,-22,0.48740396589933466,-17.61336430690599
19,0.5,4,40,5.640625000000001,62.5625
17,0.25,2,39,2.731986690074375,55.391920140446246
6,0.3333333333333333,2,-41,1.0,-37.0
14,0.3333333333333333,6,25,0.6859355250908198,33.23122630108983
22,0.25,8,-43,0.6067786201341671,-28.43731311677999
10,0.3333333333333333,1,-37,6.085806194501843,-24.82838761099631
13,0.5,4,-50,2.6406249999999996,-39.4375
5,0.5,3,-42,0.6944444444444445,-39.916666666666664
11,0.6666666666666666,8,3,0.7702546296296293,6.081018518518519
11,0.5,3,26,3.3611111111111116,36.08333333333333
1,0.3333333333333333,4,5,0.02405626121623442,5.192450089729875
7,0.5,4,-12,0.7656250000000001,-8.9375
18,0.3333333333333333,2,50,5.196152422706631,70.78460969082653
1,0.75,8,-46,7.724761962890626e-05,-45.999794006347656
16,0.5,5,-49,2.56,-36.2
14,0.6666666666666666,1,46,813.037037037036,452.51851851851825
8,0.75,8,-17,0.31640625000000006,-16.15625
4,0.6666666666666666,6,-47,0.08779149519890264,-46.73662551440329
23,0.75,2,29,5533.965087890625,3718.31005859375
24,0.75,1,-40,104976.00000000003,34952.0
9,0.3333333333333333,2,27,1.8371173070873836,34.348469228349536
2,0.5,3,29,0.1111111111111111,29.333333333333332
13,0.5,4,-26,2.6406249999999996,-15.437500000000002
11,0.25,3,-41,0.8904617154967504,-32.985844560529245
9,0.25,6,-12,0.2704217944326391,-7.132407700212497
18,0.75,3,-20,410.0625000000001,390.0624999999998
13,0.3333333333333333,6,-2,0.6137708673769092,5.365250408522911
21,0.6666666666666666,6,-17,12.7037037037037,21.1111111111111
15,0.75,6,-41,12.359619140625,-16.28076171875
13,0.75,3,29,111.56640624999997,140.56640625
10,0.3333333333333333,8,36,0.2689571768199595,40.30331482911935
3,0.6666666666666666,6,37,0.037037037037037056,37.111111111111114
6,0.6666666666666666,4,47,1.0,49.0
20,0.75,8,29,12.359619140625,61.958984375
23,0.6666666666666666,5,14,28.84029629629628,86.10074074074072
16,0.25,2,12,2.5198420997897464,27.119052598738477
23,0.5,3,44,14.694444444444445,88.08333333333334
13,0.3333333333333333,3,-40,1.7360061696678462,-29.58396298199292
22,0.75,3,-16,915.0624999999999,899.0625
5,0.5,1,2,6.249999999999999,8.25
4,0.75,6,-34,0.0625,-33.875
11,0.75,1,20,4632.503906249999,1564.16796875
22,0.5,3,-44,13.444444444444446,-3.6666666666666714
8,0.25,7,28,0.18818107314524274,31.951802536050096
15,0.6666666666666666,8,-5,1.9531249999999996,2.8125
23,0.6666666666666666,1,-28,3605.037037037033,1774.5185185185164
22,0.6666666666666666,4,-5,49.29629629629625,93.59259259259255
10,0.25,2,-9,1.3465216812699272,-0.9208699123804358
22,0.3333333333333333,3,48,3.8218202487450155,70.9309214924701
13,0.3333333333333333,8,2,0.3986558724384098,8.378493959014557
14,0.75,3,38,150.06250000000003,188.0625
23,0.75,2,-6,5533.965087890625,3683.31005859375
24,0.25,6,-3,1.0,15.0
22,0.75,1,-39,74120.06249999999,24667.6875
24,0.75,6,-13,81.00000000000001,149.0
11,0.25,8,19,0.24080025497819735,24.779206119476736
4,0.3333333333333333,8,-19,0.0680413817439772,-17.911337892096366
2,0.3333333333333333,7,-3,0.029391114278493714,-2.5885244001010883
6,0.25,8,1,0.10731696023937488,3.575607045744997
2,0.3333333333333333,1,-8,0.5443310539518174,-6.911337892096365
11,0.6666666666666666,2,-22,49.29629629629625,27.296296296296276
23,0.6666666666666666,5,14,28.84029629629628,86.10074074074072
7,0.25,7,9,0.15749013123685915,12.307292755974043
8,0.75,1,-7,1296.0000000000002,425.0
13,0.75,2,20,564.8049316406251,396.53662109375
2,0.6666666666666666,3,-32,0.08779149519890264,-31.868312757201647
19,0.5,8,36,1.4101562500000002,47.28125
13,0.3333333333333333,5,-44,0.8068227580844276,-35.93177241915572
20,0.75,8,16,12.359619140625,48.958984375
11,0.3333333333333333,7,-10,0.37910550042920027,-4.692522993991197
12,0.75,7,2,2.7326114119117033,8.376093294460642
8,0.75,2,29,81.00000000000001,83.0
3,0.6666666666666666,2,47,1.0,48.0
3,0.3333333333333333,1,-16,1.0,-14.0
9,0.75,2,-50,129.74633789062503,36.49755859375
11,0.75,3,-25,57.19140624999999,32.19140625
9,0.5,6,-45,0.5625000000000001,-41.625
21,0.25,6,-50,0.8369073924629203,-34.935666935667435
24,0.3333333333333333,6,3,1.5396007178390019,21.475208614068023
1,0.6666666666666666,1,50,0.29629629629629634,50.148148148148145
22,0.6666666666666666,2,-23,394.37037037036987,371.3703703703702
18,0.6666666666666666,7,48,5.037900874635566,65.63265306122449
9,0.6666666666666666,6,-36,1.0,-33.0
10,0.3333333333333333,2,-27,2.151657414559675,-18.393370341761297
7,0.75,4,11,2.967544555664063,14.956726074218752
16,0.5,3,10,7.111111111111111,31.333333333333332
3,0.75,4,50,0.10011291503906253,50.13348388671875
9,0.75,8,-47,0.506821632385254,-45.648475646972656
4,0.6666666666666666,1,21,18.962962962962955,30.481481481481477
2,0.3333333333333333,7,8,0.029391114278493714,8.411475599898912
5,0.5,2,-25,1.5624999999999998,-21.875
9,0.6666666666666666,3,19,7.999999999999997,30.999999999999993
8,0.75,4,12,5.062500000000001,18.75
24,0.6666666666666666,5,9,32.76799999999999,90.92000000000002
14,0.25,4,34,0.8369073924629203,44.042888709555044
2,0.6666666666666666,1,-22,2.3703703703703702,-20.814814814814817
13,0.3333333333333333,2,-35,3.1892469795072773,-22.24301208197089
8,0.25,2,50,1.0,56.0
10,0.75,7,5,1.3178102873802582,8.074890670553936
13,0.6666666666666666,2,7,81.37037037037031,88.37037037037032
24,0.75,8,-30,25.628906250000007,38.34375
13,0.5,8,-35,0.6601562499999999,-29.71875
16,0.6666666666666666,6,25,5.6186556927297655,41.8559670781893
14,0.3333333333333333,3,35,1.9401186449938952,46.640711869963376
13,0.6666666666666666,2,23,81.37037037037031,104.37037037037032
1,0.5,7,-47,0.00510204081632653,-46.964285714285715
6,0.75,4,-47,1.6018066406250004,-44.8642578125
8,0.75,8,-42,0.31640625000000006,-41.15625
19,0.5,3,21,10.027777777777779,51.083333333333336
18,0.6666666666666666,7,-7,5.037900874635566,10.632653061224488
19,0.5,7,4,1.8418367346938778,16.892857142857146
13,0.25,7,-36,0.3595123064478777,-28.45024156459457
4,0.25,8,-7,0.06250000000000001,-5.5
19,0.3333333333333333,3,-48,3.0673733306397324,-29.595760016161602
20,0.75,3,-36,624.9999999999999,589.0
10,0.6666666666666666,4,2,4.629629629629626,11.25925925925926
1,0.75,2,-49,0.019775390625000003,-48.98681640625
9,0.25,6,-25,0.2704217944326391,-20.132407700212497
14,0.6666666666666666,6,48,3.764060356652948,59.29218106995884
13,0.75,7,-1,3.7637979617867554,7.7821952441691025
13,0.5,4,20,2.6406249999999996,30.5625
2,0.6666666666666666,1,46,2.3703703703703702,47.18518518518518
18,0.25,2,40,2.948334068485009,57.69000441091005
21,0.5,4,48,6.890625000000001,75.5625
14,0.6666666666666666,3,7,30.11248285322357,52.168724279835345
14,0.3333333333333333,2,5,3.5642255405212078,19.256902162084835
1,0.6666666666666666,2,27,0.037037037037037056,27.037037037037038
8,0.6666666666666666,6,3,0.7023319615912209,5.106995884773663
8,0.5,1,8,16.0,24.0
17,0.5,6,46,2.006944444444444,58.04166666666667
17,0.6666666666666666,6,-25,6.7393689986282554,-4.781893004115233
4,0.75,4,-46,0.31640625000000006,-45.578125
13,0.5,2,-32,10.562499999999998,-10.875000000000004
10,0.25,3,-9,0.7841966907341904,-1.9422297833922864
15,0.5,5,-12,2.2500000000000004,-0.7499999999999982
21,0.3333333333333333,5,47,1.6565023392678924,63.565023392678924
4,0.25,2,-30,0.3968502629920499,-27.6188984220477
1,0.3333333333333333,8,45,0.008505172717997151,45.136082763487956
19,0.6666666666666666,5,45,16.25837037037036,85.64592592592592
13,0.6666666666666666,1,-8,650.9629629629623,317.4814814814813
16,0.6666666666666666,6,28,5.6186556927297655,44.8559670781893
10,0.3333333333333333,8,-32,0.2689571768199595,-27.69668517088065
4,0.3333333333333333,3,8,0.29629629629629634,9.777777777777779
22,0.25,3,21,2.2438229189597108,41.1944062706374
24,0.75,4,8,410.0625000000001,554.75
9,0.6666666666666666,2,29,26.999999999999993,55.999999999999986
15,0.3333333333333333,6,-44,0.7607257743127308,-34.87129070824723
20,0.75,5,49,81.00000000000001,184.00000000000006
20,0.6666666666666666,2,-36,296.2962962962959,260.2962962962961
5,0.3333333333333333,5,37,0.19245008972987526,38.924500897298756
5,0.5,1,39,6.249999999999999,45.25
22,0.25,1,-7,9.708457922146671,22.12537376644002
21,0.75,7,45,25.628906250000007,104.80078124999997
4,0.25,7,43,0.07467970836781576,44.56827387572413
17,0.3333333333333333,7,49,0.7283572373486398,59.19700132288096
24,0.6666666666666666,7,-35,11.941690962099122,6.795918367346928
2,0.5,8,8,0.015625,8.125
6,0.75,4,4,1.6018066406250004,6.1357421875
17,0.25,6,49,0.6314179243129804,60.365522637633646
21,0.5,2,44,27.562500000000004,99.125
2,0.25,1,-46,0.3968502629920499,-44.80944921102385
23,0.75,7,-8,36.877734863077876,78.04804801384842
12,0.25,4,10,0.6814202223120525,18.17704266774463
11,0.75,6,-25,3.5744628906249996,-17.85107421875
18,0.3333333333333333,8,-18,0.6495190528383291,-7.607695154586736
24,0.3333333333333333,3,44,4.354648431614538,70.12789058968724
24,0.6666666666666666,8,26,7.999999999999997,57.99999999999999
18,0.3333333333333333,7,-18,0.7935600855193298,-6.890158802729385
8,0.6666666666666666,2,-23,18.962962962962955,-4.037037037037045
13,0.75,3,-19,111.56640624999997,92.56640625
20,0.6666666666666666,7,-18,6.9107007882518054,6.187452758881321
16,0.25,5,-21,0.7426542133780446,-9.86018679932933
12,0.75,8,42,1.6018066406250004,46.271484375
11,0.3333333333333333,3,-11,1.3512175071818293,-2.892694956909022
16,0.75,3,25,256.0,281.0
14,0.6666666666666666,4,-40,12.703703703703695,-14.59259259259261
4,0.3333333333333333,8,-16,0.0680413817439772,-14.911337892096366
22,0.6666666666666666,2,45,394.37037037036987,439.3703703703702
7,0.5,5,10,0.49,12.45
16,0.5,3,26,7.111111111111111,47.33333333333333
8,0.75,6,17,1.0,19.0
8,0.6666666666666666,4,-3,2.3703703703703702,1.7407407407407405
14,0.3333333333333333,1,-24,10.081152197523334,-3.8376956049533213
14,0.75,6,9,9.378906250000002,27.7578125
4,0.3333333333333333,5,42,0.1377060745318193,43.37706074531819
20,0.3333333333333333,2,-18,6.085806194501843,6.343224778007382
23,0.3333333333333333,8,46,0.9381556349403709,61.01049015904593
1,0.75,5,1,0.0005062499999999999,1.00084375
2,0.25,1,-48,0.3968502629920499,-46.80944921102385
4,0.6666666666666666,7,-1,0.05528560630601449,-0.8065003779289492
18,0.5,8,46,1.2656250000000002,56.125
18,0.3333333333333333,4,-49,1.8371173070873836,-34.303061543300934
15,0.25,1,-39,5.826060948663485,-21.521817154009547
14,0.75,6,15,9.378906250000002,33.7578125
9,0.3333333333333333,2,40,1.8371173070873836,47.348469228349536
6,0.25,1,-32,1.717071363829998,-26.848785908510006
1,0.75,3,4,0.00390625,4.00390625
6,0.6666666666666666,3,37,2.3703703703703702,40.55555555555556
8,0.6666666666666666,4,-4,2.3703703703703702,0.7407407407407405
6,0.3333333333333333,2,1,1.0,5.0
13,0.75,5,-12,14.459006250000005,12.098343749999998
11,0.75,7,35,1.9294060417534358,39.50194743075802
3,0.6666666666666666,6,29,0.037037037037037056,29.11111111111111
20,0.75,7,48,21.08496459808413,97.19825072886297
6,0.5,1,22,9.000000000000002,31.0
7,0.75,1,-32,759.6914062500001,221.2304687500001
17,0.75,4,-46,103.22877502441406,91.63836669921875
8,0.5,1,26,16.0,42.0
3,0.3333333333333333,4,16,0.12500000000000003,17.0
6,0.75,4,50,1.6018066406250004,52.1357421875
20,0.5,6,10,2.777777777777778,26.666666666666668
14,0.75,5,39,19.448100000000004,71.4135
21,0.6666666666666666,5,-46,21.951999999999988,8.879999999999995
5,0.6666666666666666,7,-8,0.10797969981643453,-7.622071050642479
17,0.5,3,7,8.027777777777777,31.083333333333336
20,0.25,7,41,0.638502525068977,54.408553026448516
5,0.6666666666666666,8,46,0.07233796296296297,46.289351851851855
21,0.3333333333333333,7,5,1.0,19.0
11,0.5,1,28,30.25,58.25
19,0.75,2,-28,2577.1486816406255,1690.09912109375
24,0.5,8,43,2.2500000000000004,61.0
14,0.5,8,-27,0.7656250000000001,-20.875
8,0.75,7,-17,0.5397750937109537,-15.740524781341108
13,0.5,5,10,1.6899999999999997,18.45
17,0.6666666666666666,2,-19,181.9629629629628,162.96296296296288
6,0.25,6,17,0.15749013123685915,19.834822362263466
22,0.5,8,15,1.890625,30.125
1,0.75,2,-10,0.019775390625000003,-9.98681640625
1,0.75,6,-25,0.000244140625,-24.99951171875
12,0.3333333333333333,8,-42,0.35355339059327384,-36.34314575050762
9,0.5,5,-49,0.8099999999999999,-44.95
18,0.25,8,-14,0.4643335193758069,-2.855995534980634
8,0.3333333333333333,3,-4,0.8380524814062785,1.0283148884376718
6,0.3333333333333333,4,-39,0.35355339059327384,-36.17157287525381
23,0.25,5,-2,1.2048429861473944,16.072644792210916
5,0.3333333333333333,3,1,0.414086662499961,3.4845199749997664
12,0.3333333333333333,8,11,0.35355339059327384,16.65685424949238
24,0.5,5,-37,5.76,-8.200000000000003
11,0.75,7,42,1.9294060417534358,46.50194743075802
1,0.25,2,32,0.06250000000000001,32.375
8,0.6666666666666666,5,-41,1.2136296296296296,-37.96592592592592
17,0.5,5,-23,2.8899999999999997,-8.55
17,0.25,4,27,1.0841896364467956,40.010275637361545
21,0.75,3,9,759.6914062500001,768.69140625
23,0.6666666666666666,2,24,450.6296296296293,474.62962962962945
6,0.6666666666666666,2,10,7.999999999999997,18.0
15,0.3333333333333333,6,14,0.7607257743127308,23.12870929175277
21,0.3333333333333333,1,27,18.52025917745213,64.04051835490426
12,0.5,3,-21,4.0,-9.0
16,0.25,2,-10,2.5198420997897464,5.119052598738477
6,0.25,6,30,0.15749013123685915,32.834822362263466
23,0.3333333333333333,4,-5,2.653504845098829,16.228038760790636
2,0.75,5,45,0.008099999999999998,45.0135
17,0.3333333333333333,3,-33,2.5960294679814897,-17.42382319211106
14,0.3333333333333333,8,12,0.44552819256515114,19.12845108104242
3,0.5,4,3,0.14062500000000003,3.5625
2,0.3333333333333333,5,-3,0.04868644955601479,-2.5131355044398522
11,0.3333333333333333,1,-1,7.021132123546476,13.042264247092959
24,0.25,1,-8,10.902723556992838,24.70817067097851
9,0.6666666666666666,4,-34,3.375,-27.25
2,0.3333333333333333,8,5,0.02405626121623442,5.38490017945975
17,0.5,7,-5,1.4744897959183676,5.321428571428573
9,0.6666666666666666,8,-11,0.4218750000000001,-9.3125
18,0.6666666666666666,4,-35,26.999999999999993,18.99999999999997
20,0.6666666666666666,7,11,6.9107007882518054,35.18745275888132
8,0.5,7,9,0.32653061224489793,11.285714285714285
10,0.6666666666666666,2,-42,37.037037037037,-4.962962962962976
21,0.6666666666666666,4,-13,42.874999999999986,72.75
17,0.6666666666666666,4,-1,22.745370370370356,44.49074074074072
10,0.75,3,-11,39.06249999999999,28.0625
23,0.25,8,-24,0.6438289143231779,-8.54810605624373
2,0.6666666666666666,8,12,0.004629629629629634,12.018518518518519
21,0.5,5,-23,4.41,-0.9499999999999993
14,0.25,4,-21,0.8369073924629203,-10.957111290444958
13,0.3333333333333333,2,26,3.1892469795072773,38.75698791802911
4,0.6666666666666666,2,-25,2.3703703703703702,-22.62962962962963
14,0.25,8,1,0.3321269187989006,8.971046051173614
11,0.25,1,16,3.8528040796511567,27.55841223895347
6,0.6666666666666666,6,-3,0.29629629629629634,-2.111111111111111
1,0.6666666666666666,8,36,0.0005787037037037043,36.00231481481482
5,0.5,5,-8,0.25,-6.75
21,0.5,3,-30,12.250000000000002,6.750000000000007
9,0.3333333333333333,5,10,0.46475800154489005,14.6475800154489
23,0.3333333333333333,2,-29,7.505245079522965,1.0209803180918655
7,0.3333333333333333,4,29,0.44552819256515114,32.56422554052121
10,0.75,6,2,2.4414062499999996,6.8828125
21,0.25,5,-39,1.0672161746555962,-22.991757380166057
8,0.5,8,-40,0.25,-38.0
24,0.3333333333333333,2,32,7.999999999999997,64.0
13,0.3333333333333333,8,-4,0.3986558724384098,2.3784939590145573
19,0.25,4,-40,1.2575101265756714,-24.909878481091944
23,0.25,5,38,1.2048429861473944,56.072644792210916
19,0.3333333333333333,1,-31,15.938539363349351,0.8770787266987199
20,0.75,1,-48,50625.0,16827.0
6,0.25,3,37,0.3968502629920499,40.57165236692845
13,0.3333333333333333,1,20,9.020552664353238,38.04110532870648
20,0.6666666666666666,3,12,87.79149519890251,143.6872427983538
2,0.25,3,16,0.09172020135818408,16.825481812223657
19,0.3333333333333333,1,21,15.938539363349351,52.87707872669872
1,0.75,3,-42,0.00390625,-41.99609375
6,0.75,5,-39,0.6560999999999999,-37.9065
4,0.5,2,15,1.0,17.0
21,0.75,5,-25,98.45600625000002,139.09334375000003
6,0.3333333333333333,7,7,0.15272070966424256,9.138089935299394
15,0.5,7,27,1.1479591836734693,35.035714285714285
23,0.6666666666666666,4,40,56.328703703703674,152.65740740740736
1,0.3333333333333333,7,16,0.010391328106475835,16.14547859349066
9,0.3333333333333333,5,-39,0.46475800154489005,-34.3524199845511
23,0.6666666666666666,2,-47,450.6296296296293,403.62962962962945
4,0.75,4,49,0.31640625000000006,49.421875
11,0.25,6,-9,0.35337996597923726,-2.63916061237373
13,0.3333333333333333,8,-36,0.3986558724384098,-29.621506040985444
12,0.6666666666666666,4,-36,7.999999999999997,-20.000000000000004
1,0.5,4,-11,0.015625,-10.9375
22,0.5,3,-18,13.444444444444446,22.33333333333333
15,0.6666666666666666,2,-40,124.99999999999989,84.99999999999989
7,0.6666666666666666,5,-37,0.8130370370370367,-34.96740740740741
10,0.75,5,-41,5.062500000000001,-32.5625
6,0.75,6,21,0.31640625000000006,21.6328125
7,0.3333333333333333,1,28,3.5642255405212078,35.12845108104242
14,0.25,7,7,0.3968502629920499,15.333855522833048
10,0.5,3,-40,2.777777777777778,-31.666666666666664
22,0.75,2,18,4632.503906249999,3106.3359375
1,0.5,1,36,0.25,36.25
11,0.25,6,-11,0.35337996597923726,-4.63916061237373
12,0.5,4,-38,2.2500000000000004,-29.0
19,0.6666666666666666,6,-36,9.408779149519885,-7.773662551440324
20,0.5,6,30,2.777777777777778,46.66666666666667
14,0.75,5,4,19.448100000000004,36.4135
10,0.6666666666666666,8,-49,0.5787037037037035,-46.68518518518518
1,0.5,5,-22,0.01,-21.95
1,0.25,6,11,0.014445026548971559,11.260010477881488
5,0.25,8,-37,0.08415760507937046,-34.980217478095106
8,0.3333333333333333,3,-36,0.8380524814062785,-30.97168511156233
5,0.5,8,3,0.09765624999999999,3.78125
7,0.75,3,39,9.378906250000002,48.37890625
12,0.5,8,17,0.5625000000000001,21.5
18,0.25,1,1,7.42933631001291,23.288008930038732
5,0.6666666666666666,5,35,0.2962962962962962,35.74074074074074
8,0.75,2,-40,81.00000000000001,14.0
15,0.6666666666666666,6,7,4.629629629629629,20.888888888888886
20,0.6666666666666666,3,33,87.79149519890251,164.6872427983538
21,0.75,5,12,98.45600625000002,176.09334375000003
19,0.25,8,-25,0.49904322444672117,-13.022962613278692
7,0.75,1,49,759.6914062500001,302.2304687500001
2,0.6666666666666666,7,-44,0.006910700788251814,-43.97581254724112
19,0.5,8,-44,1.4101562500000002,-32.71875
1,0.75,6,28,0.000244140625,28.00048828125
17,0.3333333333333333,4,-37,1.686170601183728,-23.51063519053017
23,0.3333333333333333,3,20,4.085337964303426,44.512027785820564
21,0.75,6,27,47.48071289062501,121.96142578125
8,0.3333333333333333,3,-37,0.8380524814062785,-31.97168511156233
19,0.25,2,-44,3.1687269578573094,-24.987638252856144
6,0.75,8,-4,0.10011291503906253,-3.7330322265625
22,0.5,1,-16,121.0,105.0
16,0.75,8,-48,5.062500000000001,-34.5
13,0.6666666666666666,6,-14,3.0137174211248268,-4.958847736625515
12,0.25,2,-43,1.717071363829998,-32.69757181702001
7,0.25,4,1,0.3321269187989006,4.985523025586807
18,0.75,4,-42,129.74633789062503,130.9951171875
12,0.3333333333333333,6,5,0.5443310539518174,11.531972647421806
15,0.75,5,33,25.628906250000007,75.71484375
16,0.5,3,-9,7.111111111111111,12.333333333333332
20,0.25,4,42,1.3465216812699272,58.15826017523913
17,0.6666666666666666,6,-32,6.7393689986282554,-11.781893004115233
22,0.25,1,40,9.708457922146671,69.12537376644002
6,0.75,3,-23,5.062500000000001,-17.9375
4,0.3333333333333333,3,-4,0.29629629629629634,-2.2222222222222223
23,0.3333333333333333,1,-36,21.22803876079063,6.456077521581278
21,0.75,6,-27,47.48071289062501,67.96142578125
10,0.25,5,-21,0.3968502629920499,-15.047246055119253
10,0.75,8,-9,0.7724761962890625,-6.9400634765625
9,0.6666666666666666,8,38,0.4218750000000001,39.6875
15,0.6666666666666666,8,44,1.9531249999999996,51.8125
17,0.75,3,-12,326.25390625,314.25390625
6,0.3333333333333333,4,47,0.35355339059327384,49.82842712474619
3,0.25,4,7,0.10731696023937488,8.287803522872498
4,0.3333333333333333,3,24,0.29629629629629634,25.77777777777778
9,0.75,8,4,0.506821632385254,5.351524353027344
4,0.3333333333333333,5,1,0.1377060745318193,2.3770607453181927
21,0.5,4,-17,6.890625000000001,10.562499999999996
5,0.75,2,-15,12.359619140625,-6.76025390625
2,0.6666666666666666,7,17,0.006910700788251814,17.02418745275888
20,0.3333333333333333,3,-37,3.312693299999687,-17.123840200001872
11,0.6666666666666666,3,14,14.606310013717412,35.90946502057613
13,0.5,2,25,10.562499999999998,46.125
19,0.75,1,-11,41234.37890625001,13733.79296875
19,0.75,5,15,65.97500625000002,124.95834374999998
22,0.3333333333333333,2,26,7.021132123546476,54.08452849418592
16,0.3333333333333333,3,18,2.3703703703703702,32.22222222222222
9,0.25,5,6,0.3448392445770989,11.172588668656484
7,0.5,4,27,0.7656250000000001,30.0625
4,0.5,2,-17,1.0,-15.0
6,0.3333333333333333,8,46,0.12500000000000003,48.0
18,0.25,1,-22,7.42933631001291,0.28800893003873185
1,0.6666666666666666,5,3,0.0023703703703703725,3.005925925925926
21,0.6666666666666666,2,7,342.9999999999998,349.9999999999998
9,0.5,8,13,0.31640625000000006,15.53125
7,0.5,6,-16,0.3402777777777778,-13.958333333333332
9,0.75,5,13,3.3215062500000005,18.53584375
21,0.3333333333333333,6,-22,1.2601440246904174,-6.878271703714992
4,0.5,3,33,0.4444444444444444,34.333333333333336
23,0.75,8,19,21.617051124572754,76.64546966552734
23,0.25,3,48,2.3808321946608224,69.4274897519474
16,0.5,3,-29,7.111111111111111,-7.666666666666668
6,0.5,3,2,1.0,5.0
20,0.5,4,-34,6.249999999999999,-8.999999999999996
19,0.25,4,13,1.2575101265756714,28.090121518908056
16,0.75,2,37,1296.0000000000002,901.0
21,0.6666666666666666,2,-38,342.9999999999998,304.9999999999998
13,0.75,3,-44,111.56640624999997,67.56640625
18,0.75,3,4,410.0625000000001,414.0624999999998
13,0.25,5,-48,0.5630554184715868,-39.5541687229262
17,0.5,2,46,18.0625,82.125
8,0.3333333333333333,4,10,0.5443310539518174,14.354648431614539
19,0.6666666666666666,5,-4,16.25837037037036,36.64592592592592
8,0.25,2,-27,1.0,-21.0
10,0.3333333333333333,8,-3,0.2689571768199595,1.3033148291193513
12,0.25,7,-46,0.32312033191249445,-39.21447302983761
22,0.6666666666666666,4,21,49.29629629629625,119.59259259259255
6,0.5,3,-16,1.0,-13.0
8,0.6666666666666666,7,24,0.44228485044811583,25.547996976568406
18,0.25,3,-18,1.717071363829998,-2.5463577255300187
22,0.75,4,23,289.53149414062494,409.0419921875
4,0.75,7,-16,0.033735943356934604,-15.921282798833818
21,0.75,6,23,47.48071289062501,117.96142578125
19,0.5,4,-47,5.640625000000001,-24.437500000000004
6,0.75,4,-14,1.6018066406250004,-11.8642578125
5,0.25,3,5,0.3112086629553587,7.800877966598228
7,0.75,2,-10,47.48071289062501,21.653808593750014
15,0.75,3,-28,197.75390625,169.75390625
14,0.6666666666666666,8,7,1.5879629629629626,13.351851851851853
7,0.3333333333333333,3,-12,0.6859355250908198,-7.8843868494550815
7,0.25,7,-43,0.15749013123685915,-39.69270724402596
2,0.3333333333333333,7,-38,0.029391114278493714,-37.588524400101086
20,0.75,1,-44,50625.0,16831.0
4,0.3333333333333333,5,24,0.1377060745318193,25.377060745318193
9,0.3333333333333333,8,-7,0.229639663385923,-3.3257653858252327
10,0.25,7,13,0.25338989499471143,18.32118779488894
7,0.6666666666666666,6,48,0.4705075445816186,49.41152263374485
9,0.25,2,37,1.170047150466696,44.020282902800176
