a,b,px,py,I,xunit,yunit,xn,yn,x,y,U
4,2,1,1,9,1,1,13,13,9.0,0.0,36.0
4,3,1,1,9,1,1,13,13,9.0,0.0,36.0
4,5,1,1,9,1,1,13,13,0.0,9.0,45.0
5,1,1,1,9,1,1,13,13,9.0,0.0,45.0
5,2,1,1,9,1,1,13,13,9.0,0.0,45.0
5,3,1,1,9,1,1,13,13,9.0,0.0,45.0
5,4,1,1,9,1,1,13,13,9.0,0.0,45.0
1,2,1,1,10,1,1,13,13,0.0,10.0,20.0
1,3,1,1,10,1,1,13,13,0.0,10.0,30.0
1,4,1,1,10,1,1,13,13,0.0,10.0,40.0
1,5,1,1,10,1,1,13,13,0.0,10.0,50.0
2,1,1,1,10,1,1,13,13,10.0,0.0,20.0
2,3,1,1,10,1,1,13,13,0.0,10.0,30.0
2,4,1,1,10,1,1,13,13,0.0,10.0,40.0
2,5,1,1,10,1,1,13,13,0.0,10.0,50.0
3,1,1,1,10,1,1,13,13,10.0,0.0,30.0
3,2,1,1,10,1,1,13,13,10.0,0.0,30.0
3,4,1,1,10,1,1,13,13,0.0,10.0,40.0
3,5,1,1,10,1,1,13,13,0.0,10.0,50.0
4,1,1,1,10,1,1,13,13,10.0,0.0,40.0
4,2,1,1,10,1,1,13,13,10.0,0.0,40.0
4,3,1,1,10,1,1,13,13,10.0,0.0,40.0
4,5,1,1,10,1,1,13,13,0.0,10.0,50.0
5,1,1,1,10,1,1,13,13,10.0,0.0,50.0
5,2,1,1,10,1,1,13,13,10.0,0.0,50.0
5,3,1,1,10,1,1,13,13,10.0,0.0,50.0
5,4,1,1,10,1,1,13,13,10.0,0.0,50.0
1,2,1,1,11,1,1,13,13,0.0,11.0,22.0
1,3,1,1,11,1,1,13,13,0.0,11.0,33.0
1,4,1,1,11,1,1,13,13,0.0,11.0,44.0
1,5,1,1,11,1,1,13,13,0.0,11.0,55.0
2,1,1,1,11,1,1,13,13,11.0,0.0,22.0
2,3,1,1,11,1,1,13,13,0.0,11.0,33.0
2,4,1,1,11,1,1,13,13,0.0,11.0,44.0
2,5,1,1,11,1,1,13,13,0.0,11.0,55.0
3,1,1,1,11,1,1,13,13,11.0,0.0,33.0
3,2,1,1,11,1,1,13,13,11.0,0.0,33.0
3,4,1,1,11,1,1,13,13,0.0,11.0,44.0
3,5,1,1,11,1,1,13,13,0.0,11.0,55.0
4,1,1,1,11,1,1,13,13,11.0,0.0,44.0
4,2,1,1,11,1,1,13,13,11.0,0.0,44.0
4,3,1,1,11,1,1,13,13,11.0,0.0,44.0
4,5,1,1,11,1,1,13,13,0.0,11.0,55.0
5,1,1,1,11,1,1,13,13,11.0,0.0,55.0
5,2,1,1,11,1,1,13,13,11.0,0.0,55.0
5,3,1,1,11,1,1,13,13,11.0,0.0,55.0
5,4,1,1,11,1,1,13,13,11.0,0.0,55.0
1,2,1,1,12,1,1,13,13,0.0,12.0,24.0
1,3,1,1,12,1,1,13,13,0.0,12.0,36.0
1,4,1,1,12,1,1,13,13,0.0,12.0,48.0
1,5,1,1,12,1,1,13,13,0.0,12.0,60.0
2,1,1,1,12,1,1,13,13,12.0,0.0,24.0
2,3,1,1,12,1,1,13,13,0.0,12.0,36.0
2,4,1,1,12,1,1,13,13,0.0,12.0,48.0
2,5,1,1,12,1,1,13,13,0.0,12.0,60.0
3,1,1,1,12,1,1,13,13,12.0,0.0,36.0
3,2,1,1,12,1,1,13,13,12.0,0.0,36.0
3,4,1,1,12,1,1,13,13,0.0,12.0,48.0
3,5,1,1,12,1,1,13,13,0.0,12.0,60.0
4,1,1,1,12,1,1,13,13,12.0,0.0,48.0
4,2,1,1,12,1,1,13,13,12.0,0.0,48.0
4,3,1,1,12,1,1,13,13,12.0,0.0,48.0
4,5,1,1,12,1,1,13,13,0.0,12.0,60.0
5,1,1,1,12,1,1,13,13,12.0,0.0,60.0
5,2,1,1,12,1,1,13,13,12.0,0.0,60.0
5,3,1,1,12,1,1,13,13,12.0,0.0,60.0
5,4,1,1,12,1,1,13,13,12.0,0.0,60.0
1,1,1,2,6,1,1,13,13,6.0,0.0,6.0
1,3,1,2,6,1,1,13,13,0.0,3.0,9.0
1,4,1,2,6,1,1,13,13,0.0,3.0,12.0
1,5,1,2,6,1,1,13,13,0.0,3.0,15.0
2,1,1,2,6,1,1,13,13,6.0,0.0,12.0
2,2,1,2,6,1,1,13,13,6.0,0.0,12.0
2,3,1,2,6,1,1,13,13,6.0,0.0,12.0
2,5,1,2,6,1,1,13,13,0.0,3.0,15.0
3,1,1,2,6,1,1,13,13,6.0,0.0,18.0
3,2,1,2,6,1,1,13,13,6.0,0.0,18.0
3,3,1,2,6,1,1,13,13,6.0,0.0,18.0
3,4,1,2,6,1,1,13,13,6.0,0.0,18.0
3,5,1,2,6,1,1,13,13,6.0,0.0,18.0
4,1,1,2,6,1,1,13,13,6.0,0.0,24.0
4,2,1,2,6,1,1,13,13,6.0,0.0,24.0
4,3,1,2,6,1,1,13,13,6.0,0.0,24.0
4,4,1,2,6,1,1,13,13,6.0,0.0,24.0
4,5,1,2,6,1,1,13,13,6.0,0.0,24.0
5,1,1,2,6,1,1,13,13,6.0,0.0,30.0
5,2,1,2,6,1,1,13,13,6.0,0.0,30.0
5,3,1,2,6,1,1,13,13,6.0,0.0,30.0
5,4,1,2,6,1,1,13,13,6.0,0.0,30.0
5,5,1,2,6,1,1,13,13,6.0,0.0,30.0
1,1,1,2,8,1,1,13,13,8.0,0.0,8.0
1,3,1,2,8,1,1,13,13,0.0,4.0,12.0
1,4,1,2,8,1,1,13,13,0.0,4.0,16.0
1,5,1,2,8,1,1,13,13,0.0,4.0,20.0
2,1,1,2,8,1,1,13,13,8.0,0.0,16.0
2,2,1,2,8,1,1,13,13,8.0,0.0,16.0
2,3,1,2,8,1,1,13,13,8.0,0.0,16.0
2,5,1,2,8,1,1,13,13,0.0,4.0,20.0
3,1,1,2,8,1,1,13,13,8.0,0.0,24.0
3,2,1,2,8,1,1,13,13,8.0,0.0,24.0
3,3,1,2,8,1,1,13,13,8.0,0.0,24.0
3,4,1,2,8,1,1,13,13,8.0,0.0,24.0
3,5,1,2,8,1,1,13,13,8.0,0.0,24.0
4,1,1,2,8,1,1,13,13,8.0,0.0,32.0
4,2,1,2,8,1,1,13,13,8.0,0.0,32.0
4,3,1,2,8,1,1,13,13,8.0,0.0,32.0
4,4,1,2,8,1,1,13,13,8.0,0.0,32.0
4,5,1,2,8,1,1,13,13,8.0,0.0,32.0
5,1,1,2,8,1,1,13,13,8.0,0.0,40.0
5,2,1,2,8,1,1,13,13,8.0,0.0,40.0
5,3,1,2,8,1,1,13,13,8.0,0.0,40.0
5,4,1,2,8,1,1,13,13,8.0,0.0,40.0
5,5,1,2,8,1,1,13,13,8.0,0.0,40.0
1,1,1,2,10,1,1,13,13,10.0,0.0,10.0
1,3,1,2,10,1,1,13,13,0.0,5.0,15.0
1,4,1,2,10,1,1,13,13,0.0,5.0,20.0
1,5,1,2,10,1,1,13,13,0.0,5.0,25.0
2,1,1,2,10,1,1,13,13,10.0,0.0,20.0
2,2,1,2,10,1,1,13,13,10.0,0.0,20.0
2,3,1,2,10,1,1,13,13,10.0,0.0,20.0
2,5,1,2,10,1,1,13,13,0.0,5.0,25.0
3,1,1,2,10,1,1,13,13,10.0,0.0,30.0
3,2,1,2,10,1,1,13,13,10.0,0.0,30.0
3,3,1,2,10,1,1,13,13,10.0,0.0,30.0
3,4,1,2,10,1,1,13,13,10.0,0.0,30.0
3,5,1,2,10,1,1,13,13,10.0,0.0,30.0
4,1,1,2,10,1,1,13,13,10.0,0.0,40.0
4,2,1,2,10,1,1,13,13,10.0,0.0,40.0
4,3,1,2,10,1,1,13,13,10.0,0.0,40.0
4,4,1,2,10,1,1,13,13,10.0,0.0,40.0
4,5,1,2,10,1,1,13,13,10.0,0.0,40.0
5,1,1,2,10,1,1,13,13,10.0,0.0,50.0
5,2,1,2,10,1,1,13,13,10.0,0.0,50.0
5,3,1,2,10,1,1,13,13,10.0,0.0,50.0
5,4,1,2,10,1,1,13,13,10.0,0.0,50.0
5,5,1,2,10,1,1,13,13,10.0,0.0,50.0
1,1,1,2,12,1,1,13,13,12.0,0.0,12.0
1,3,1,2,12,1,1,13,13,0.0,6.0,18.0
1,4,1,2,12,1,1,13,13,0.0,6.0,24.0
1,5,1,2,12,1,1,13,13,0.0,6.0,30.0
2,1,1,2,12,1,1,13,13,12.0,0.0,24.0
2,2,1,2,12,1,1,13,13,12.0,0.0,24.0
2,3,1,2,12,1,1,13,13,12.0,0.0,24.0
2,5,1,2,12,1,1,13,13,0.0,6.0,30.0
3,1,1,2,12,1,1,13,13,12.0,0.0,36.0
3,2,1,2,12,1,1,13,13,12.0,0.0,36.0
3,3,1,2,12,1,1,13,13,12.0,0.0,36.0
3,4,1,2,12,1,1,13,13,12.0,0.0,36.0
3,5,1,2,12,1,1,13,13,12.0,0.0,36.0
4,1,1,2,12,1,1,13,13,12.0,0.0,48.0
4,2,1,2,12,1,1,13,13,12.0,0.0,48.0
4,3,1,2,12,1,1,13,13,12.0,0.0,48.0
4,4,1,2,12,1,1,13,13,12.0,0.0,48.0
4,5,1,2,12,1,1,13,13,12.0,0.0,48.0
5,1,1,2,12,1,1,13,13,12.0,0.0,60.0
5,2,1,2,12,1,1,13,13,12.0,0.0,60.0
5,3,1,2,12,1,1,13,13,12.0,0.0,60.0
5,4,1,2,12,1,1,13,13,12.0,0.0,60.0
5,5,1,2,12,1,1,13,13,12.0,0.0,60.0
1,1,1,3,6,1,1,13,13,6.0,0.0,6.0
1,2,1,3,6,1,1,13,13,6.0,0.0,6.0
1,4,1,3,6,1,1,13,13,0.0,2.0,8.0
1,5,1,3,6,1,1,13,13,0.0,2.0,10.0
2,1,1,3,6,1,1,13,13,6.0,0.0,12.0
2,2,1,3,6,1,1,13,13,6.0,0.0,12.0
2,3,1,3,6,1,1,13,13,6.0,0.0,12.0
2,4,1,3,6,1,1,13,13,6.0,0.0,12.0
2,5,1,3,6,1,1,13,13,6.0,0.0,12.0
3,1,1,3,6,1,1,13,13,6.0,0.0,18.0
3,2,1,3,6,1,1,13,13,6.0,0.0,18.0
3,3,1,3,6,1,1,13,13,6.0,0.0,18.0
3,4,1,3,6,1,1,13,13,6.0,0.0,18.0
3,5,1,3,6,1,1,13,13,6.0,0.0,18.0
4,1,1,3,6,1,1,13,13,6.0,0.0,24.0
4,2,1,3,6,1,1,13,13,6.0,0.0,24.0
4,3,1,3,6,1,1,13,13,6.0,0.0,24.0
4,4,1,3,6,1,1,13,13,6.0,0.0,24.0
4,5,1,3,6,1,1,13,13,6.0,0.0,24.0
5,1,1,3,6,1,1,13,13,6.0,0.0,30.0
5,2,1,3,6,1,1,13,13,6.0,0.0,30.0
5,3,1,3,6,1,1,13,13,6.0,0.0,30.0
5,4,1,3,6,1,1,13,13,6.0,0.0,30.0
5,5,1,3,6,1,1,13,13,6.0,0.0,30.0
1,1,1,3,9,1,1,13,13,9.0,0.0,9.0
1,2,1,3,9,1,1,13,13,9.0,0.0,9.0
1,4,1,3,9,1,1,13,13,0.0,3.0,12.0
1,5,1,3,9,1,1,13,13,0.0,3.0,15.0
2,1,1,3,9,1,1,13,13,9.0,0.0,18.0
2,2,1,3,9,1,1,13,13,9.0,0.0,18.0
2,3,1,3,9,1,1,13,13,9.0,0.0,18.0
2,4,1,3,9,1,1,13,13,9.0,0.0,18.0
2,5,1,3,9,1,1,13,13,9.0,0.0,18.0
3,1,1,3,9,1,1,13,13,9.0,0.0,27.0
3,2,1,3,9,1,1,13,13,9.0,0.0,27.0
3,3,1,3,9,1,1,13,13,9.0,0.0,27.0
3,4,1,3,9,1,1,13,13,9.0,0.0,27.0
3,5,1,3,9,1,1,13,13,9.0,0.0,27.0
4,1,1,3,9,1,1,13,13,9.0,0.0,36.0
4,2,1,3,9,1,1,13,13,9.0,0.0,36.0
4,3,1,3,9,1,1,13,13,9.0,0.0,36.0
4,4,1,3,9,1,1,13,13,9.0,0.0,36.0
4,5,1,3,9,1,1,13,13,9.0,0.0,36.0
5,1,1,3,9,1,1,13,13,9.0,0.0,45.0
5,2,1,3,9,1,1,13,13,9.0,0.0,45.0
5,3,1,3,9,1,1,13,13,9.0,0.0,45.0
5,4,1,3,9,1,1,13,13,9.0,0.0,45.0
5,5,1,3,9,1,1,13,13,9.0,0.0,45.0
1,1,1,3,12,1,1,13,13,12.0,0.0,12.0
1,2,1,3,12,1,1,13,13,12.0,0.0,12.0
1,4,1,3,12,1,1,13,13,0.0,4.0,16.0
1,5,1,3,12,1,1,13,13,0.0,4.0,20.0
2,1,1,3,12,1,1,13,13,12.0,0.0,24.0
2,2,1,3,12,1,1,13,13,12.0,0.0,24.0
2,3,1,3,12,1,1,13,13,12.0,0.0,24.0
2,4,1,3,12,1,1,13,13,12.0,0.0,24.0
2,5,1,3,12,1,1,13,13,12.0,0.0,24.0
3,1,1,3,12,1,1,13,13,12.0,0.0,36.0
3,2,1,3,12,1,1,13,13,12.0,0.0,36.0
3,3,1,3,12,1,1,13,13,12.0,0.0,36.0
3,4,1,3,12,1,1,13,13,12.0,0.0,36.0
3,5,1,3,12,1,1,13,13,12.0,0.0,36.0
4,1,1,3,12,1,1,13,13,12.0,0.0,48.0
4,2,1,3,12,1,1,13,13,12.0,0.0,48.0
4,3,1,3,12,1,1,13,13,12.0,0.0,48.0
4,4,1,3,12,1,1,13,13,12.0,0.0,48.0
4,5,1,3,12,1,1,13,13,12.0,0.0,48.0
5,1,1,3,12,1,1,13,13,12.0,0.0,60.0
5,2,1,3,12,1,1,13,13,12.0,0.0,60.0
5,3,1,3,12,1,1,13,13,12.0,0.0,60.0
5,4,1,3,12,1,1,13,13,12.0,0.0,60.0
5,5,1,3,12,1,1,13,13,12.0,0.0,60.0
1,1,1,4,8,1,1,13,13,8.0,0.0,8.0
1,2,1,4,8,1,1,13,13,8.0,0.0,8.0
1,3,1,4,8,1,1,13,13,8.0,0.0,8.0
1,5,1,4,8,1,1,13,13,0.0,2.0,10.0
2,1,1,4,8,1,1,13,13,8.0,0.0,16.0
2,2,1,4,8,1,1,13,13,8.0,0.0,16.0
2,3,1,4,8,1,1,13,13,8.0,0.0,16.0
2,4,1,4,8,1,1,13,13,8.0,0.0,16.0
2,5,1,4,8,1,1,13,13,8.0,0.0,16.0
3,1,1,4,8,1,1,13,13,8.0,0.0,24.0
3,2,1,4,8,1,1,13,13,8.0,0.0,24.0
3,3,1,4,8,1,1,13,13,8.0,0.0,24.0
3,4,1,4,8,1,1,13,13,8.0,0.0,24.0
3,5,1,4,8,1,1,13,13,8.0,0.0,24.0
4,1,1,4,8,1,1,13,13,8.0,0.0,32.0
4,2,1,4,8,1,1,13,13,8.0,0.0,32.0
4,3,1,4,8,1,1,13,13,8.0,0.0,32.0
4,4,1,4,8,1,1,13,13,8.0,0.0,32.0
4,5,1,4,8,1,1,13,13,8.0,0.0,32.0
5,1,1,4,8,1,1,13,13,8.0,0.0,40.0
5,2,1,4,8,1,1,13,13,8.0,0.0,40.0
5,3,1,4,8,1,1,13,13,8.0,0.0,40.0
5,4,1,4,8,1,1,13,13,8.0,0.0,40.0
5,5,1,4,8,1,1,13,13,8.0,0.0,40.0
1,1,1,4,12,1,1,13,13,12.0,0.0,12.0
1,2,1,4,12,1,1,13,13,12.0,0.0,12.0
1,3,1,4,12,1,1,13,13,12.0,0.0,12.0
1,5,1,4,12,1,1,13,13,0.0,3.0,15.0
2,1,1,4,12,1,1,13,13,12.0,0.0,24.0
2,2,1,4,12,1,1,13,13,12.0,0.0,24.0
2,3,1,4,12,1,1,13,13,12.0,0.0,24.0
2,4,1,4,12,1,1,13,13,12.0,0.0,24.0
2,5,1,4,12,1,1,13,13,12.0,0.0,24.0
3,1,1,4,12,1,1,13,13,12.0,0.0,36.0
3,2,1,4,12,1,1,13,13,12.0,0.0,36.0
3,3,1,4,12,1,1,13,13,12.0,0.0,36.0
3,4,1,4,12,1,1,13,13,12.0,0.0,36.0
3,5,1,4,12,1,1,13,13,12.0,0.0,36.0
4,1,1,4,12,1,1,13,13,12.0,0.0,48.0
4,2,1,4,12,1,1,13,13,12.0,0.0,48.0
4,3,1,4,12,1,1,13,13,12.0,0.0,48.0
4,4,1,4,12,1,1,13,13,12.0,0.0,48.0
4,5,1,4,12,1,1,13,13,12.0,0.0,48.0
5,1,1,4,12,1,1,13,13,12.0,0.0,60.0
5,2,1,4,12,1,1,13,13,12.0,0.0,60.0
5,3,1,4,12,1,1,13,13,12.0,0.0,60.0
5,4,1,4,12,1,1,13,13,12.0,0.0,60.0
5,5,1,4,12,1,1,13,13,12.0,0.0,60.0
1,1,1,5,10,1,1,13,13,10.0,0.0,10.0
1,2,1,5,10,1,1,13,13,10.0,0.0,10.0
1,3,1,5,10,1,1,13,13,10.0,0.0,10.0
1,4,1,5,10,1,1,13,13,10.0,0.0,10.0
2,1,1,5,10,1,1,13,13,10.0,0.0,20.0
2,2,1,5,10,1,1,13,13,10.0,0.0,20.0
2,3,1,5,10,1,1,13,13,10.0,0.0,20.0
2,4,1,5,10,1,1,13,13,10.0,0.0,20.0
2,5,1,5,10,1,1,13,13,10.0,0.0,20.0
3,1,1,5,10,1,1,13,13,10.0,0.0,30.0
3,2,1,5,10,1,1,13,13,10.0,0.0,30.0
3,3,1,5,10,1,1,13,13,10.0,0.0,30.0
3,4,1,5,10,1,1,13,13,10.0,0.0,30.0
3,5,1,5,10,1,1,13,13,10.0,0.0,30.0
4,1,1,5,10,1,1,13,13,10.0,0.0,40.0
4,2,1,5,10,1,1,13,13,10.0,0.0,40.0
4,3,1,5,10,1,1,13,13,10.0,0.0,40.0
4,4,1,5,10,1,1,13,13,10.0,0.0,40.0
4,5,1,5,10,1,1,13,13,10.0,0.0,40.0
5,1,1,5,10,1,1,13,13,10.0,0.0,50.0
5,2,1,5,10,1,1,13,13,10.0,0.0,50.0
5,3,1,5,10,1,1,13,13,10.0,0.0,50.0
5,4,1,5,10,1,1,13,13,10.0,0.0,50.0
5,5,1,5,10,1,1,13,13,10.0,0.0,50.0
1,1,2,1,6,1,1,13,13,0.0,6.0,6.0
1,2,2,1,6,1,1,13,13,0.0,6.0,12.0
1,3,2,1,6,1,1,13,13,0.0,6.0,18.0
1,4,2,1,6,1,1,13,13,0.0,6.0,24.0
1,5,2,1,6,1,1,13,13,0.0,6.0,30.0
2,2,2,1,6,1,1,13,13,0.0,6.0,12.0
2,3,2,1,6,1,1,13,13,0.0,6.0,18.0
2,4,2,1,6,1,1,13,13,0.0,6.0,24.0
2,5,2,1,6,1,1,13,13,0.0,6.0,30.0
3,1,2,1,6,1,1,13,13,3.0,0.0,9.0
3,2,2,1,6,1,1,13,13,0.0,6.0,12.0
3,3,2,1,6,1,1,13,13,0.0,6.0,18.0
3,4,2,1,6,1,1,13,13,0.0,6.0,24.0
3,5,2,1,6,1,1,13,13,0.0,6.0,30.0
4,1,2,1,6,1,1,13,13,3.0,0.0,12.0
4,3,2,1,6,1,1,13,13,0.0,6.0,18.0
4,4,2,1,6,1,1,13,13,0.0,6.0,24.0
4,5,2,1,6,1,1,13,13,0.0,6.0,30.0
5,1,2,1,6,1,1,13,13,3.0,0.0,15.0
5,2,2,1,6,1,1,13,13,3.0,0.0,15.0
5,3,2,1,6,1,1,13,13,0.0,6.0,18.0
5,4,2,1,6,1,1,13,13,0.0,6.0,24.0
5,5,2,1,6,1,1,13,13,0.0,6.0,30.0
1,1,2,1,8,1,1,13,13,0.0,8.0,8.0
1,2,2,1,8,1,1,13,13,0.0,8.0,16.0
1,3,2,1,8,1,1,13,13,0.0,8.0,24.0
1,4,2,1,8,1,1,13,13,0.0,8.0,32.0
1,5,2,1,8,1,1,13,13,0.0,8.0,40.0
2,2,2,1,8,1,1,13,13,0.0,8.0,16.0
2,3,2,1,8,1,1,13,13,0.0,8.0,24.0
2,4,2,1,8,1,1,13,13,0.0,8.0,32.0
2,5,2,1,8,1,1,13,13,0.0,8.0,40.0
3,1,2,1,8,1,1,13,13,4.0,0.0,12.0
3,2,2,1,8,1,1,13,13,0.0,8.0,16.0
3,3,2,1,8,1,1,13,13,0.0,8.0,24.0
3,4,2,1,8,1,1,13,13,0.0,8.0,32.0
3,5,2,1,8,1,1,13,13,0.0,8.0,40.0
4,1,2,1,8,1,1,13,13,4.0,0.0,16.0
4,3,2,1,8,1,1,13,13,0.0,8.0,24.0
4,4,2,1,8,1,1,13,13,0.0,8.0,32.0
4,5,2,1,8,1,1,13,13,0.0,8.0,40.0
5,1,2,1,8,1,1,13,13,4.0,0.0,20.0
5,2,2,1,8,1,1,13,13,4.0,0.0,20.0
5,3,2,1,8,1,1,13,13,0.0,8.0,24.0
5,4,2,1,8,1,1,13,13,0.0,8.0,32.0
5,5,2,1,8,1,1,13,13,0.0,8.0,40.0
1,1,2,1,10,1,1,13,13,0.0,10.0,10.0
1,2,2,1,10,1,1,13,13,0.0,10.0,20.0
1,3,2,1,10,1,1,13,13,0.0,10.0,30.0
1,4,2,1,10,1,1,13,13,0.0,10.0,40.0
1,5,2,1,10,1,1,13,13,0.0,10.0,50.0
2,2,2,1,10,1,1,13,13,0.0,10.0,20.0
2,3,2,1,10,1,1,13,13,0.0,10.0,30.0
2,4,2,1,10,1,1,13,13,0.0,10.0,40.0
2,5,2,1,10,1,1,13,13,0.0,10.0,50.0
3,1,2,1,10,1,1,13,13,5.0,0.0,15.0
3,2,2,1,10,1,1,13,13,0.0,10.0,20.0
3,3,2,1,10,1,1,13,13,0.0,10.0,30.0
3,4,2,1,10,1,1,13,13,0.0,10.0,40.0
3,5,2,1,10,1,1,13,13,0.0,10.0,50.0
4,1,2,1,10,1,1,13,13,5.0,0.0,20.0
4,3,2,1,10,1,1,13,13,0.0,10.0,30.0
4,4,2,1,10,1,1,13,13,0.0,10.0,40.0
4,5,2,1,10,1,1,13,13,0.0,10.0,50.0
5,1,2,1,10,1,1,13,13,5.0,0.0,25.0
5,2,2,1,10,1,1,13,13,5.0,0.0,25.0
5,3,2,1,10,1,1,13,13,0.0,10.0,30.0
5,4,2,1,10,1,1,13,13,0.0,10.0,40.0
5,5,2,1,10,1,1,13,13,0.0,10.0,50.0
1,1,2,1,12,1,1,13,13,0.0,12.0,12.0
1,2,2,1,12,1,1,13,13,0.0,12.0,24.0
1,3,2,1,12,1,1,13,13,0.0,12.0,36.0
1,4,2,1,12,1,1,13,13,0.0,12.0,48.0
1,5,2,1,12,1,1,13,13,0.0,12.0,60.0
2,2,2,1,12,1,1,13,13,0.0,12.0,24.0
2,3,2,1,12,1,1,13,13,0.0,12.0,36.0
2,4,2,1,12,1,1,13,13,0.0,12.0,48.0
2,5,2,1,12,1,1,13,13,0.0,12.0,60.0
3,1,2,1,12,1,1,13,13,6.0,0.0,18.0
3,2,2,1,12,1,1,13,13,0.0,12.0,24.0
3,3,2,1,12,1,1,13,13,0.0,12.0,36.0
3,4,2,1,12,1,1,13,13,0.0,12.0,48.0
3,5,2,1,12,1,1,13,13,0.0,12.0,60.0
4,1,2,1,12,1,1,13,13,6.0,0.0,24.0
4,3,2,1,12,1,1,13,13,0.0,12.0,36.0
4,4,2,1,12,1,1,13,13,0.0,12.0,48.0
4,5,2,1,12,1,1,13,13,0.0,12.0,60.0
5,1,2,1,12,1,1,13,13,6.0,0.0,30.0
