A,kf,d,kw,a,L,w,p,q,U_consumer,U_worker,profit
2,0.5,1.0,2,24.0,2.449489742783178,4.898979485566357,7.66731725095527,3.1301691601465746,3.3860891488070166,6.000000000000001,12.0
4,0.5,1.0,2,24.0,2.449489742783178,4.898979485566357,3.833658625477635,6.260338320293149,20.021621482245706,6.000000000000001,12.0
6,0.5,1.0,2,24.0,2.449489742783178,4.898979485566357,2.55577241698509,9.390507480439723,29.75278407684165,6.000000000000001,12.000000000000004
2,0.5,1.0,2,28.0,2.6457513110645907,5.2915026221291805,8.607034141317701,3.2531531233955717,5.02949209906566,6.999999999999997,14.000000000000005
4,0.5,1.0,2,28.0,2.6457513110645907,5.2915026221291805,4.303517070658851,6.506306246791143,24.437613154744124,6.999999999999997,14.000000000000005
6,0.5,1.0,2,28.0,2.6457513110645907,5.2915026221291805,2.8690113804392334,9.759459370186715,35.79063618177274,6.999999999999997,14.000000000000005
2,0.5,1.0,2,32.0,2.8284271247461903,5.65685424949238,9.513656920021768,3.3635856610148585,6.816242111356942,7.999999999999998,16.0
4,0.5,1.0,2,32.0,2.8284271247461903,5.65685424949238,4.756828460010884,6.727171322029717,28.996951889275188,7.999999999999998,16.0
6,0.5,1.0,2,32.0,2.8284271247461903,5.65685424949238,3.1712189733405896,10.090756983044574,41.97183534873645,7.999999999999998,16.0
2,0.5,1.0,2,36.0,3.0,6.0,10.392304845413264,3.4641016151377544,8.728319696184009,9.0,18.0
4,0.5,1.0,2,36.0,3.0,6.0,5.196152422706632,6.928203230275509,33.68161819634203,9.0,18.0
6,0.5,1.0,2,36.0,3.0,6.0,3.4641016151377544,10.392304845413264,48.27836208823595,9.0,18.0
4,0.5,1.5,2,12.0,1.4142135623730951,4.242640687119285,2.5226892457611436,4.756828460010884,6.714973875118524,2.999999999999999,6.0
6,0.5,1.5,2,12.0,1.4142135623730951,4.242640687119285,1.681792830507429,7.135242690016327,11.580555172416496,2.999999999999999,6.0
4,0.5,1.5,2,18.0,1.7320508075688772,5.196152422706632,3.4192605854321667,5.2642960518099695,11.897053799164524,4.500000000000001,9.0
6,0.5,1.5,2,18.0,1.7320508075688772,5.196152422706632,2.279507056954778,7.896444077714954,19.19542574511148,4.500000000000001,9.000000000000004
2,0.5,1.5,2,24.0,2.0,6.0,8.48528137423857,2.8284271247461903,0.9532985001580343,6.0,12.0
4,0.5,1.5,2,24.0,2.0,6.0,4.242640687119285,5.656854249492381,17.588830833596717,6.0,12.0
6,0.5,1.5,2,24.0,2.0,6.0,2.82842712474619,8.485281374238571,27.31999342819266,6.0,12.0
2,0.5,1.5,2,36.0,2.449489742783178,7.3484692283495345,11.500975876432905,3.1301691601465746,5.079133723210525,9.000000000000002,18.0
4,0.5,1.5,2,36.0,2.449489742783178,7.3484692283495345,5.750487938216453,6.260338320293149,30.03243222336856,9.000000000000002,18.0
6,0.5,1.5,2,36.0,2.449489742783178,7.3484692283495345,3.8336586254776353,9.390507480439723,44.62917611526247,9.000000000000002,18.0
2,0.5,1.5,2,42.0,2.6457513110645907,7.937253933193771,12.91055121197655,3.2531531233955717,7.544238148598495,10.499999999999998,21.0
4,0.5,1.5,2,42.0,2.6457513110645907,7.937253933193771,6.455275605988275,6.506306246791143,36.65641973211619,10.499999999999998,21.0
6,0.5,1.5,2,42.0,2.6457513110645907,7.937253933193771,4.303517070658851,9.759459370186715,53.6859542726591,10.499999999999998,21.0
2,0.5,1.5,2,48.0,2.8284271247461903,8.48528137423857,14.270485380032651,3.3635856610148585,10.224363167035413,11.999999999999996,24.0
4,0.5,1.5,2,48.0,2.8284271247461903,8.48528137423857,7.135242690016326,6.727171322029717,43.495427833912785,11.999999999999996,24.0
6,0.5,1.5,2,48.0,2.8284271247461903,8.48528137423857,4.756828460010884,10.090756983044574,62.95775302310467,11.999999999999996,24.000000000000007
2,0.5,1.5,2,54.0,3.0,9.0,15.588457268119896,3.4641016151377544,13.092479544276003,13.5,27.0
4,0.5,1.5,2,54.0,3.0,9.0,7.794228634059948,6.928203230275509,50.52242729451305,13.5,27.0
6,0.5,1.5,2,54.0,3.0,9.0,5.196152422706632,10.392304845413264,72.41754313235394,13.5,27.0
