A,a,w,r,L,K,unit_cost
0.25,0.3333333333333333,3,1,1.2114137285547595,7.268482371328559,10.902723556992838
0.25,0.3333333333333333,3,2,1.9229994270765443,5.768998281229634,17.3069948436889
0.25,0.3333333333333333,3,3,2.519842099789746,5.039684199579493,22.678578898107716
0.25,0.3333333333333333,3,4,3.052571313475551,4.5788569702133275,27.473141821279963
0.25,0.3333333333333333,3,5,3.5421952306087032,4.250634276730445,31.87975707547833
0.25,0.3333333333333333,4,1,0.9999999999999998,8.0,12.0
0.25,0.3333333333333333,4,2,1.5874010519681994,6.349604207872798,19.048812623618396
0.25,0.3333333333333333,4,3,2.0800838230519036,5.546890194805078,24.96100587662285
0.25,0.3333333333333333,4,4,2.519842099789746,5.039684199579493,30.238105197476955
0.25,0.3333333333333333,4,5,2.924017738212866,4.678428381140586,35.08821285855439
0.25,0.3333333333333333,5,1,0.8617738760127532,8.617738760127533,12.926608140191298
0.25,0.3333333333333333,5,2,1.3679807573413572,6.839903786706787,20.51971136012036
0.25,0.3333333333333333,5,3,1.7925618986228655,5.975206328742886,26.888428479342988
0.25,0.3333333333333333,5,4,2.171534093275925,5.4288352331898135,32.57301139913888
0.25,0.3333333333333333,5,5,2.519842099789746,5.039684199579493,37.79763149684619
0.25,0.5,1,1,4.0,4.0,8.0
0.25,0.5,1,2,5.656854249492381,2.8284271247461903,11.313708498984761
0.25,0.5,1,3,6.928203230275509,2.309401076758503,13.856406460551018
0.25,0.5,1,4,8.0,2.0,16.0
0.25,0.5,1,5,8.94427190999916,1.7888543819998317,17.88854381999832
0.25,0.5,2,1,2.8284271247461903,5.656854249492381,11.313708498984761
0.25,0.5,2,2,4.0,4.0,16.0
0.25,0.5,2,3,4.898979485566356,3.265986323710904,19.595917942265423
0.25,0.5,2,4,5.656854249492381,2.8284271247461903,22.627416997969522
0.25,0.5,2,5,6.324555320336759,2.5298221281347035,25.298221281347036
0.25,0.5,3,1,2.309401076758503,6.928203230275509,13.856406460551018
0.25,0.5,3,2,3.265986323710904,4.898979485566356,19.595917942265423
0.25,0.5,3,3,4.0,4.0,24.0
0.25,0.5,3,4,4.618802153517006,3.4641016151377544,27.712812921102035
0.25,0.5,3,5,5.163977794943222,3.0983866769659336,30.983866769659336
0.25,0.5,4,1,2.0,8.0,16.0
0.25,0.5,4,2,2.8284271247461903,5.656854249492381,22.627416997969522
0.25,0.5,4,3,3.4641016151377544,4.618802153517006,27.712812921102035
0.25,0.5,4,4,4.0,4.0,32.0
0.25,0.5,4,5,4.47213595499958,3.5777087639996634,35.77708763999664
0.25,0.5,5,1,1.7888543819998317,8.94427190999916,17.88854381999832
0.25,0.5,5,2,2.5298221281347035,6.324555320336759,25.298221281347036
0.25,0.5,5,3,3.0983866769659336,5.163977794943222,30.983866769659336
0.25,0.5,5,4,3.5777087639996634,4.47213595499958,35.77708763999664
0.25,0.5,5,5,4.0,4.0,40.0
0.25,0.6666666666666666,1,1,5.039684199579493,2.519842099789747,7.55952629936924
0.25,0.6666666666666666,1,2,6.349604207872798,1.5874010519681998,9.524406311809198
0.25,0.6666666666666666,1,3,7.26848237132856,1.21141372855476,10.90272355699284
0.25,0.6666666666666666,1,4,8.0,1.0000000000000002,12.0
0.25,0.6666666666666666,1,5,8.617738760127535,0.8617738760127538,12.926608140191304
0.25,0.6666666666666666,2,1,4.0,4.000000000000001,12.0
0.25,0.6666666666666666,2,2,5.039684199579493,2.519842099789747,15.11905259873848
0.25,0.6666666666666666,2,3,5.768998281229634,1.922999427076545,17.306994843688905
0.25,0.6666666666666666,2,4,6.349604207872798,1.5874010519681998,19.048812623618396
0.25,0.6666666666666666,2,5,6.839903786706788,1.367980757341358,20.51971136012037
0.25,0.6666666666666666,3,1,3.494321858945195,5.241482788417795,15.72444836525338
0.25,0.6666666666666666,3,2,4.402569665192836,3.301927248894627,19.81156349336776
0.25,0.6666666666666666,3,3,5.039684199579493,2.519842099789747,22.678578898107716
0.25,0.6666666666666666,3,4,5.546890194805078,2.0800838230519045,24.96100587662285
0.25,0.6666666666666666,3,5,5.975206328742886,1.7925618986228664,26.88842847934299
0.25,0.6666666666666666,4,1,3.174802103936399,6.349604207872799,19.048812623618396
0.25,0.6666666666666666,4,2,4.0,4.000000000000001,24.0
0.25,0.6666666666666666,4,3,4.5788569702133275,3.052571313475552,27.473141821279967
0.25,0.6666666666666666,4,4,5.039684199579493,2.519842099789747,30.23810519747696
0.25,0.6666666666666666,4,5,5.4288352331898135,2.171534093275926,32.573011399138885
0.25,0.6666666666666666,5,1,2.947225198912309,7.3680629972807745,22.104188991842317
0.25,0.6666666666666666,5,2,3.7132710668902233,4.641588833612779,27.849533001676676
0.25,0.6666666666666666,5,3,4.250634276730445,3.542195230608704,31.879757075478334
0.25,0.6666666666666666,5,4,4.678428381140586,2.924017738212867,35.0882128585544
0.25,0.6666666666666666,5,5,5.039684199579493,2.519842099789747,37.7976314968462
0.25,0.75,1,1,5.2642960518099695,1.7547653506033232,7.019061402413293
0.25,0.75,1,2,6.260338320293148,1.0433897200488582,8.347117760390866
0.25,0.75,1,3,6.928203230275508,0.7698003589195009,9.237604307034012
0.25,0.75,1,4,7.4448388728167965,0.6204032394013997,9.926451830422396
0.25,0.75,1,5,7.871958685061721,0.5247972456707815,10.495944913415629
0.25,0.75,2,1,4.426727678801286,2.951151785867524,11.804607143470095
0.25,0.75,2,2,5.2642960518099695,1.7547653506033232,14.038122804826585
0.25,0.75,2,3,5.825901260487881,1.2946447245528623,15.535736694634348
0.25,0.75,2,4,6.260338320293148,1.0433897200488582,16.69423552078173
0.25,0.75,2,5,6.619501839293746,0.882600245239166,17.652004904783322
0.25,0.75,3,1,3.9999999999999996,3.9999999999999996,15.999999999999998
0.25,0.75,3,2,4.756828460010883,2.378414230005442,19.027313840043533
0.25,0.75,3,3,5.2642960518099695,1.7547653506033232,21.057184207239878
0.25,0.75,3,4,5.656854249492381,1.414213562373095,22.627416997969522
0.25,0.75,3,5,5.981395124884882,1.1962790249769764,23.925580499539528
0.25,0.75,4,1,3.7224194364083982,4.963225915211198,19.85290366084479
0.25,0.75,4,2,4.426727678801286,2.951151785867524,23.60921428694019
0.25,0.75,4,3,4.898979485566356,2.1773242158072694,26.127890589687233
0.25,0.75,4,4,5.2642960518099695,1.7547653506033232,28.07624560965317
0.25,0.75,4,5,5.566315367427481,1.4843507646473284,29.687015292946565
0.25,0.75,5,1,3.520446947173573,5.867411578622622,23.46964631449049
0.25,0.75,5,2,4.186540557568422,3.4887837979736847,27.910270383789477
0.25,0.75,5,3,4.633168741153076,2.573982633973931,30.887791607687177
0.25,0.75,5,4,4.978663818307826,2.074443257628261,33.191092122052176
0.25,0.75,5,5,5.2642960518099695,1.7547653506033232,35.09530701206646
0.5,0.25,1,1,0.8773826753016616,2.6321480259049848,3.5095307012066463
0.5,0.25,1,2,1.475575892933762,2.213363839400643,5.902303571735048
0.5,0.25,1,3,1.9999999999999998,1.9999999999999998,7.999999999999999
0.5,0.25,1,4,2.481612957605599,1.8612097182041991,9.926451830422396
0.5,0.25,1,5,2.933705789311311,1.7602234735867865,11.734823157245245
0.5,0.25,2,1,0.5216948600244291,3.130169160146574,4.173558880195433
0.5,0.25,2,2,0.8773826753016616,2.6321480259049848,7.019061402413293
0.5,0.25,2,3,1.189207115002721,2.3784142300054416,9.513656920021766
0.5,0.25,2,4,1.475575892933762,2.213363839400643,11.804607143470095
0.5,0.25,2,5,1.7443918989868423,2.093270278784211,13.955135191894739
0.5,0.25,3,1,0.38490017945975047,3.464101615137754,4.618802153517006
0.5,0.25,3,2,0.6473223622764311,2.9129506302439405,7.767868347317174
0.5,0.25,3,3,0.8773826753016616,2.6321480259049848,10.528592103619939
0.5,0.25,3,4,1.0886621079036347,2.449489742783178,13.063945294843617
0.5,0.25,3,5,1.2869913169869656,2.316584370576538,15.443895803843589
0.5,0.25,4,1,0.31020161970069987,3.7224194364083982,4.963225915211198
0.5,0.25,4,2,0.5216948600244291,3.130169160146574,8.347117760390866
0.5,0.25,4,3,0.7071067811865475,2.8284271247461903,11.313708498984761
0.5,0.25,4,4,0.8773826753016616,2.6321480259049848,14.038122804826585
0.5,0.25,4,5,1.0372216288141305,2.489331909153913,16.595546061026088
0.5,0.25,5,1,0.2623986228353907,3.9359793425308607,5.2479724567078145
0.5,0.25,5,2,0.441300122619583,3.309750919646873,8.826002452391661
0.5,0.25,5,3,0.5981395124884882,2.990697562442441,11.962790249769764
0.5,0.25,5,4,0.7421753823236642,2.7831576837137404,14.843507646473283
0.5,0.25,5,5,0.8773826753016616,2.6321480259049848,17.54765350603323
0.5,0.3333333333333333,1,1,1.259921049894873,2.5198420997897464,3.7797631496846193
0.5,0.3333333333333333,1,2,1.9999999999999998,2.0,6.0
0.5,0.3333333333333333,1,3,2.620741394208896,1.7471609294725976,7.862224182626688
0.5,0.3333333333333333,1,4,3.1748021039363987,1.5874010519681996,9.524406311809198
0.5,0.3333333333333333,1,5,3.6840314986403864,1.4736125994561549,11.05209449592116
0.5,0.3333333333333333,2,1,0.7937005259840997,3.174802103936399,4.762203155904599
0.5,0.3333333333333333,2,2,1.259921049894873,2.5198420997897464,7.559526299369239
0.5,0.3333333333333333,2,3,1.6509636244473131,2.201284832596418,9.90578174668388
0.5,0.3333333333333333,2,4,1.9999999999999998,2.0,12.0
0.5,0.3333333333333333,2,5,2.320794416806389,1.8566355334451117,13.924766500838338
0.5,0.3333333333333333,3,1,0.6057068642773797,3.6342411856642793,5.451361778496419
0.5,0.3333333333333333,3,2,0.9614997135382721,2.884499140614817,8.65349742184445
0.5,0.3333333333333333,3,3,1.259921049894873,2.5198420997897464,11.339289449053858
0.5,0.3333333333333333,3,4,1.5262856567377756,2.2894284851066637,13.736570910639982
0.5,0.3333333333333333,3,5,1.7710976153043516,2.1253171383652223,15.939878537739165
0.5,0.3333333333333333,4,1,0.4999999999999999,4.0,6.0
0.5,0.3333333333333333,4,2,0.7937005259840997,3.174802103936399,9.524406311809198
0.5,0.3333333333333333,4,3,1.0400419115259518,2.773445097402539,12.480502938311425
0.5,0.3333333333333333,4,4,1.259921049894873,2.5198420997897464,15.119052598738477
0.5,0.3333333333333333,4,5,1.462008869106433,2.339214190570293,17.544106429277196
0.5,0.3333333333333333,5,1,0.4308869380063766,4.308869380063767,6.463304070095649
0.5,0.3333333333333333,5,2,0.6839903786706786,3.4199518933533937,10.25985568006018
0.5,0.3333333333333333,5,3,0.8962809493114328,2.987603164371443,13.444214239671494
0.5,0.3333333333333333,5,4,1.0857670466379625,2.7144176165949068,16.28650569956944
0.5,0.3333333333333333,5,5,1.259921049894873,2.5198420997897464,18.898815748423097
0.5,0.5,1,1,2.0,2.0,4.0
0.5,0.5,1,2,2.8284271247461903,1.4142135623730951,5.656854249492381
0.5,0.5,1,3,3.4641016151377544,1.1547005383792515,6.928203230275509
0.5,0.5,1,4,4.0,1.0,8.0
0.5,0.5,1,5,4.47213595499958,0.8944271909999159,8.94427190999916
0.5,0.5,2,1,1.4142135623730951,2.8284271247461903,5.656854249492381
0.5,0.5,2,2,2.0,2.0,8.0
0.5,0.5,2,3,2.449489742783178,1.632993161855452,9.797958971132712
0.5,0.5,2,4,2.8284271247461903,1.4142135623730951,11.313708498984761
0.5,0.5,2,5,3.1622776601683795,1.2649110640673518,12.649110640673518
0.5,0.5,3,1,1.1547005383792515,3.4641016151377544,6.928203230275509
0.5,0.5,3,2,1.632993161855452,2.449489742783178,9.797958971132712
0.5,0.5,3,3,2.0,2.0,12.0
0.5,0.5,3,4,2.309401076758503,1.7320508075688772,13.856406460551018
0.5,0.5,3,5,2.581988897471611,1.5491933384829668,15.491933384829668
0.5,0.5,4,1,1.0,4.0,8.0
0.5,0.5,4,2,1.4142135623730951,2.8284271247461903,11.313708498984761
0.5,0.5,4,3,1.7320508075688772,2.309401076758503,13.856406460551018
0.5,0.5,4,4,2.0,2.0,16.0
0.5,0.5,4,5,2.23606797749979,1.7888543819998317,17.88854381999832
0.5,0.5,5,1,0.8944271909999159,4.47213595499958,8.94427190999916
0.5,0.5,5,2,1.2649110640673518,3.1622776601683795,12.649110640673518
0.5,0.5,5,3,1.5491933384829668,2.581988897471611,15.491933384829668
0.5,0.5,5,4,1.7888543819998317,2.23606797749979,17.88854381999832
0.5,0.5,5,5,2.0,2.0,20.0
0.5,0.6666666666666666,1,1,2.5198420997897464,1.2599210498948734,3.77976314968462
0.5,0.6666666666666666,1,2,3.174802103936399,0.7937005259840999,4.762203155904599
0.5,0.6666666666666666,1,3,3.63424118566428,0.60570686427738,5.45136177849642
0.5,0.6666666666666666,1,4,4.0,0.5000000000000001,6.0
0.5,0.6666666666666666,1,5,4.308869380063768,0.4308869380063769,6.463304070095652
0.5,0.6666666666666666,2,1,2.0,2.0000000000000004,6.0
0.5,0.6666666666666666,2,2,2.5198420997897464,1.2599210498948734,7.55952629936924
0.5,0.6666666666666666,2,3,2.884499140614817,0.9614997135382725,8.653497421844452
0.5,0.6666666666666666,2,4,3.174802103936399,0.7937005259840999,9.524406311809198
0.5,0.6666666666666666,2,5,3.419951893353394,0.683990378670679,10.259855680060184
0.5,0.6666666666666666,3,1,1.7471609294725976,2.6207413942088973,7.86222418262669
0.5,0.6666666666666666,3,2,2.201284832596418,1.6509636244473136,9.90578174668388
0.5,0.6666666666666666,3,3,2.5198420997897464,1.2599210498948734,11.339289449053858
0.5,0.6666666666666666,3,4,2.773445097402539,1.0400419115259523,12.480502938311425
0.5,0.6666666666666666,3,5,2.987603164371443,0.8962809493114332,13.444214239671496
0.5,0.6666666666666666,4,1,1.5874010519681996,3.1748021039363996,9.524406311809198
0.5,0.6666666666666666,4,2,2.0,2.0000000000000004,12.0
0.5,0.6666666666666666,4,3,2.2894284851066637,1.526285656737776,13.736570910639983
0.5,0.6666666666666666,4,4,2.5198420997897464,1.2599210498948734,15.11905259873848
0.5,0.6666666666666666,4,5,2.7144176165949068,1.085767046637963,16.286505699569442
0.5,0.6666666666666666,5,1,1.4736125994561544,3.6840314986403873,11.052094495921159
0.5,0.6666666666666666,5,2,1.8566355334451117,2.3207944168063896,13.924766500838338
0.5,0.6666666666666666,5,3,2.1253171383652223,1.771097615304352,15.939878537739167
0.5,0.6666666666666666,5,4,2.339214190570293,1.4620088691064335,17.5441064292772
0.5,0.6666666666666666,5,5,2.5198420997897464,1.2599210498948734,18.8988157484231
0.5,0.75,1,1,2.6321480259049848,0.8773826753016616,3.5095307012066463
0.5,0.75,1,2,3.130169160146574,0.5216948600244291,4.173558880195433
0.5,0.75,1,3,3.464101615137754,0.38490017945975047,4.618802153517006
0.5,0.75,1,4,3.7224194364083982,0.31020161970069987,4.963225915211198
0.5,0.75,1,5,3.9359793425308607,0.2623986228353907,5.2479724567078145
0.5,0.75,2,1,2.213363839400643,1.475575892933762,5.902303571735048
0.5,0.75,2,2,2.6321480259049848,0.8773826753016616,7.019061402413293
0.5,0.75,2,3,2.9129506302439405,0.6473223622764311,7.767868347317174
0.5,0.75,2,4,3.130169160146574,0.5216948600244291,8.347117760390866
0.5,0.75,2,5,3.309750919646873,0.441300122619583,8.826002452391661
0.5,0.75,3,1,1.9999999999999998,1.9999999999999998,7.999999999999999
0.5,0.75,3,2,2.3784142300054416,1.189207115002721,9.513656920021766
0.5,0.75,3,3,2.6321480259049848,0.8773826753016616,10.528592103619939
0.5,0.75,3,4,2.8284271247461903,0.7071067811865475,11.313708498984761
0.5,0.75,3,5,2.990697562442441,0.5981395124884882,11.962790249769764
0.5,0.75,4,1,1.8612097182041991,2.481612957605599,9.926451830422396
0.5,0.75,4,2,2.213363839400643,1.475575892933762,11.804607143470095
0.5,0.75,4,3,2.449489742783178,1.0886621079036347,13.063945294843617
0.5,0.75,4,4,2.6321480259049848,0.8773826753016616,14.038122804826585
0.5,0.75,4,5,2.7831576837137404,0.7421753823236642,14.843507646473283
0.5,0.75,5,1,1.7602234735867865,2.933705789311311,11.734823157245245
0.5,0.75,5,2,2.093270278784211,1.7443918989868423,13.955135191894739
0.5,0.75,5,3,2.316584370576538,1.2869913169869656,15.443895803843589
0.5,0.75,5,4,2.489331909153913,1.0372216288141305,16.595546061026088
0.5,0.75,5,5,2.6321480259049848,0.8773826753016616,17.54765350603323
1.0,0.25,1,1,0.4386913376508308,1.3160740129524924,1.7547653506033232
1.0,0.25,1,2,0.737787946466881,1.1066819197003215,2.951151785867524
1.0,0.25,1,3,0.9999999999999999,0.9999999999999999,3.9999999999999996
1.0,0.25,1,4,1.2408064788027995,0.9306048591020996,4.963225915211198
1.0,0.25,1,5,1.4668528946556556,0.8801117367933933,5.867411578622622
1.0,0.25,2,1,0.26084743001221455,1.565084580073287,2.0867794400977164
1.0,0.25,2,2,0.4386913376508308,1.3160740129524924,3.5095307012066463
1.0,0.25,2,3,0.5946035575013605,1.1892071150027208,4.756828460010883
1.0,0.25,2,4,0.737787946466881,1.1066819197003215,5.902303571735048
1.0,0.25,2,5,0.8721959494934212,1.0466351393921054,6.977567595947369
1.0,0.25,3,1,0.19245008972987523,1.732050807568877,2.309401076758503
1.0,0.25,3,2,0.32366118113821557,1.4564753151219703,3.883934173658587
1.0,0.25,3,3,0.4386913376508308,1.3160740129524924,5.2642960518099695
1.0,0.25,3,4,0.5443310539518174,1.224744871391589,6.531972647421808
1.0,0.25,3,5,0.6434956584934828,1.158292185288269,7.721947901921794
1.0,0.25,4,1,0.15510080985034994,1.8612097182041991,2.481612957605599
1.0,0.25,4,2,0.26084743001221455,1.565084580073287,4.173558880195433
1.0,0.25,4,3,0.35355339059327373,1.4142135623730951,5.656854249492381
1.0,0.25,4,4,0.4386913376508308,1.3160740129524924,7.019061402413293
1.0,0.25,4,5,0.5186108144070652,1.2446659545769565,8.297773030513044
1.0,0.25,5,1,0.13119931141769536,1.9679896712654303,2.6239862283539073
1.0,0.25,5,2,0.2206500613097915,1.6548754598234365,4.4130012261958305
1.0,0.25,5,3,0.2990697562442441,1.4953487812212205,5.981395124884882
1.0,0.25,5,4,0.3710876911618321,1.3915788418568702,7.421753823236641
1.0,0.25,5,5,0.4386913376508308,1.3160740129524924,8.773826753016616
1.0,0.3333333333333333,1,1,0.6299605249474365,1.2599210498948732,1.8898815748423097
1.0,0.3333333333333333,1,2,0.9999999999999999,1.0,3.0
1.0,0.3333333333333333,1,3,1.310370697104448,0.8735804647362988,3.931112091313344
1.0,0.3333333333333333,1,4,1.5874010519681994,0.7937005259840998,4.762203155904599
1.0,0.3333333333333333,1,5,1.8420157493201932,0.7368062997280774,5.52604724796058
1.0,0.3333333333333333,2,1,0.39685026299204984,1.5874010519681996,2.3811015779522995
1.0,0.3333333333333333,2,2,0.6299605249474365,1.2599210498948732,3.7797631496846193
1.0,0.3333333333333333,2,3,0.8254818122236566,1.100642416298209,4.95289087334194
1.0,0.3333333333333333,2,4,0.9999999999999999,1.0,6.0
1.0,0.3333333333333333,2,5,1.1603972084031946,0.9283177667225558,6.962383250419169
1.0,0.3333333333333333,3,1,0.30285343213868987,1.8171205928321397,2.7256808892482094
1.0,0.3333333333333333,3,2,0.48074985676913606,1.4422495703074085,4.326748710922225
1.0,0.3333333333333333,3,3,0.6299605249474365,1.2599210498948732,5.669644724526929
1.0,0.3333333333333333,3,4,0.7631428283688878,1.1447142425533319,6.868285455319991
1.0,0.3333333333333333,3,5,0.8855488076521758,1.0626585691826111,7.969939268869583
1.0,0.3333333333333333,4,1,0.24999999999999994,2.0,3.0
1.0,0.3333333333333333,4,2,0.39685026299204984,1.5874010519681996,4.762203155904599
1.0,0.3333333333333333,4,3,0.5200209557629759,1.3867225487012695,6.240251469155712
1.0,0.3333333333333333,4,4,0.6299605249474365,1.2599210498948732,7.559526299369239
1.0,0.3333333333333333,4,5,0.7310044345532165,1.1696070952851465,8.772053214638598
1.0,0.3333333333333333,5,1,0.2154434690031883,2.1544346900318834,3.2316520350478246
1.0,0.3333333333333333,5,2,0.3419951893353393,1.7099759466766968,5.12992784003009
1.0,0.3333333333333333,5,3,0.4481404746557164,1.4938015821857216,6.722107119835747
1.0,0.3333333333333333,5,4,0.5428835233189813,1.3572088082974534,8.14325284978472
1.0,0.3333333333333333,5,5,0.6299605249474365,1.2599210498948732,9.449407874211548
1.0,0.5,1,1,1.0,1.0,2.0
1.0,0.5,1,2,1.4142135623730951,0.7071067811865476,2.8284271247461903
1.0,0.5,1,3,1.7320508075688772,0.5773502691896257,3.4641016151377544
1.0,0.5,1,4,2.0,0.5,4.0
1.0,0.5,1,5,2.23606797749979,0.4472135954999579,4.47213595499958
1.0,0.5,2,1,0.7071067811865476,1.4142135623730951,2.8284271247461903
1.0,0.5,2,2,1.0,1.0,4.0
1.0,0.5,2,3,1.224744871391589,0.816496580927726,4.898979485566356
1.0,0.5,2,4,1.4142135623730951,0.7071067811865476,5.656854249492381
1.0,0.5,2,5,1.5811388300841898,0.6324555320336759,6.324555320336759
1.0,0.5,3,1,0.5773502691896257,1.7320508075688772,3.4641016151377544
1.0,0.5,3,2,0.816496580927726,1.224744871391589,4.898979485566356
1.0,0.5,3,3,1.0,1.0,6.0
1.0,0.5,3,4,1.1547005383792515,0.8660254037844386,6.928203230275509
1.0,0.5,3,5,1.2909944487358056,0.7745966692414834,7.745966692414834
1.0,0.5,4,1,0.5,2.0,4.0
1.0,0.5,4,2,0.7071067811865476,1.4142135623730951,5.656854249492381
1.0,0.5,4,3,0.8660254037844386,1.1547005383792515,6.928203230275509
1.0,0.5,4,4,1.0,1.0,8.0
1.0,0.5,4,5,1.118033988749895,0.8944271909999159,8.94427190999916
1.0,0.5,5,1,0.4472135954999579,2.23606797749979,4.47213595499958
1.0,0.5,5,2,0.6324555320336759,1.5811388300841898,6.324555320336759
1.0,0.5,5,3,0.7745966692414834,1.2909944487358056,7.745966692414834
1.0,0.5,5,4,0.8944271909999159,1.118033988749895,8.94427190999916
1.0,0.5,5,5,1.0,1.0,10.0
1.0,0.6666666666666666,1,1,1.2599210498948732,0.6299605249474367,1.88988157484231
1.0,0.6666666666666666,1,2,1.5874010519681996,0.39685026299204995,2.3811015779522995
1.0,0.6666666666666666,1,3,1.81712059283214,0.30285343213869,2.72568088924821
1.0,0.6666666666666666,1,4,2.0,0.25000000000000006,3.0
1.0,0.6666666666666666,1,5,2.154434690031884,0.21544346900318845,3.231652035047826
1.0,0.6666666666666666,2,1,1.0,1.0000000000000002,3.0
1.0,0.6666666666666666,2,2,1.2599210498948732,0.6299605249474367,3.77976314968462
1.0,0.6666666666666666,2,3,1.4422495703074085,0.48074985676913623,4.326748710922226
1.0,0.6666666666666666,2,4,1.5874010519681996,0.39685026299204995,4.762203155904599
1.0,0.6666666666666666,2,5,1.709975946676697,0.3419951893353395,5.129927840030092
1.0,0.6666666666666666,3,1,0.8735804647362988,1.3103706971044486,3.931112091313345
1.0,0.6666666666666666,3,2,1.100642416298209,0.8254818122236568,4.95289087334194
1.0,0.6666666666666666,3,3,1.2599210498948732,0.6299605249474367,5.669644724526929
1.0,0.6666666666666666,3,4,1.3867225487012695,0.5200209557629761,6.240251469155712
1.0,0.6666666666666666,3,5,1.4938015821857216,0.4481404746557166,6.722107119835748
1.0,0.6666666666666666,4,1,0.7937005259840998,1.5874010519681998,4.762203155904599
1.0,0.6666666666666666,4,2,1.0,1.0000000000000002,6.0
1.0,0.6666666666666666,4,3,1.1447142425533319,0.763142828368888,6.868285455319992
1.0,0.6666666666666666,4,4,1.2599210498948732,0.6299605249474367,7.55952629936924
1.0,0.6666666666666666,4,5,1.3572088082974534,0.5428835233189815,8.143252849784721
1.0,0.6666666666666666,5,1,0.7368062997280772,1.8420157493201936,5.526047247960579
1.0,0.6666666666666666,5,2,0.9283177667225558,1.1603972084031948,6.962383250419169
1.0,0.6666666666666666,5,3,1.0626585691826111,0.885548807652176,7.969939268869584
1.0,0.6666666666666666,5,4,1.1696070952851465,0.7310044345532167,8.7720532146386
1.0,0.6666666666666666,5,5,1.2599210498948732,0.6299605249474367,9.44940787421155
1.0,0.75,1,1,1.3160740129524924,0.4386913376508308,1.7547653506033232
1.0,0.75,1,2,1.565084580073287,0.26084743001221455,2.0867794400977164
1.0,0.75,1,3,1.732050807568877,0.19245008972987523,2.309401076758503
1.0,0.75,1,4,1.8612097182041991,0.15510080985034994,2.481612957605599
1.0,0.75,1,5,1.9679896712654303,0.13119931141769536,2.6239862283539073
1.0,0.75,2,1,1.1066819197003215,0.737787946466881,2.951151785867524
1.0,0.75,2,2,1.3160740129524924,0.4386913376508308,3.5095307012066463
1.0,0.75,2,3,1.4564753151219703,0.32366118113821557,3.883934173658587
1.0,0.75,2,4,1.565084580073287,0.26084743001221455,4.173558880195433
1.0,0.75,2,5,1.6548754598234365,0.2206500613097915,4.4130012261958305
1.0,0.75,3,1,0.9999999999999999,0.9999999999999999,3.9999999999999996
1.0,0.75,3,2,1.1892071150027208,0.5946035575013605,4.756828460010883
1.0,0.75,3,3,1.3160740129524924,0.4386913376508308,5.2642960518099695
1.0,0.75,3,4,1.4142135623730951,0.35355339059327373,5.656854249492381
1.0,0.75,3,5,1.4953487812212205,0.2990697562442441,5.981395124884882
