x_private,x_public,px,py,I,xunit,xn,y_private,U_private,U_public,choice,xchoice,ychoice
2,4,120.0,120.0,1200,1,13,8.0,6.062866266041594,8.325532074018732,public,4,10.0
2,5,120.0,120.0,1200,1,13,8.0,6.062866266041594,8.705505632961243,public,5,10.0
2,6,120.0,120.0,1200,1,13,8.0,6.062866266041594,9.028804514474345,public,6,10.0
2,7,120.0,120.0,1200,1,13,8.0,6.062866266041594,9.311499150948379,public,7,10.0
2,8,120.0,120.0,1200,1,13,8.0,6.062866266041594,9.563524997900371,public,8,10.0
3,2,120.0,120.0,1200,1,13,7.0,5.428814526898253,6.1703386272000955,public,2,10.0
3,3,120.0,120.0,1200,1,13,7.0,5.428814526898253,6.968453019359488,public,3,10.0
3,4,120.0,120.0,1200,1,13,7.0,5.428814526898253,7.596577929323737,public,4,10.0
3,5,120.0,120.0,1200,1,13,7.0,5.428814526898253,8.122523963562355,public,5,10.0
3,6,120.0,120.0,1200,1,13,7.0,5.428814526898253,8.579172004440947,public,6,10.0
3,7,120.0,120.0,1200,1,13,7.0,5.428814526898253,8.985234417906396,public,7,10.0
3,8,120.0,120.0,1200,1,13,7.0,5.428814526898253,9.352484478226211,public,8,10.0
4,3,120.0,120.0,1200,1,13,6.0,5.101698002503163,6.17800850567412,public,3,10.0
4,4,120.0,120.0,1200,1,13,6.0,5.101698002503163,6.9314484315514635,public,4,10.0
4,5,120.0,120.0,1200,1,13,6.0,5.101698002503163,7.578582832551991,public,5,10.0
4,6,120.0,120.0,1200,1,13,6.0,5.101698002503163,8.151931096059227,public,6,10.0
4,7,120.0,120.0,1200,1,13,6.0,5.101698002503163,8.670401643811235,public,7,10.0
4,8,120.0,120.0,1200,1,13,6.0,5.101698002503163,9.146101038546528,public,8,10.0
5,2,120.0,120.0,1200,1,13,5.0,5.000000000000001,4.47213595499958,private,5,5.0
5,4,120.0,120.0,1200,1,13,5.0,5.000000000000001,6.324555320336759,public,4,10.0
5,5,120.0,120.0,1200,1,13,5.0,5.000000000000001,7.071067811865476,public,5,10.0
5,6,120.0,120.0,1200,1,13,5.0,5.000000000000001,7.745966692414833,public,6,10.0
5,7,120.0,120.0,1200,1,13,5.0,5.000000000000001,8.366600265340756,public,7,10.0
5,8,120.0,120.0,1200,1,13,5.0,5.000000000000001,8.94427190999916,public,8,10.0
6,2,120.0,120.0,1200,1,13,4.0,5.101698002503163,3.807307877431757,private,6,4.0
6,4,120.0,120.0,1200,1,13,4.0,5.101698002503163,5.770799623628854,public,4,10.0
6,5,120.0,120.0,1200,1,13,4.0,5.101698002503163,6.597539553864471,public,5,10.0
6,6,120.0,120.0,1200,1,13,4.0,5.101698002503163,7.360219228178332,public,6,10.0
6,7,120.0,120.0,1200,1,13,4.0,5.101698002503163,8.07344375447297,public,7,10.0
6,8,120.0,120.0,1200,1,13,4.0,5.101698002503163,8.746896591546225,public,8,10.0
7,2,120.0,120.0,1200,1,13,3.0,5.428814526898253,3.2413131933855244,private,7,3.0
7,3,120.0,120.0,1200,1,13,3.0,5.428814526898253,4.305116202499342,private,7,3.0
7,5,120.0,120.0,1200,1,13,3.0,5.428814526898253,6.15572206672458,public,5,10.0
7,6,120.0,120.0,1200,1,13,3.0,5.428814526898253,6.993681904144293,public,6,10.0
7,7,120.0,120.0,1200,1,13,3.0,5.428814526898253,7.79055912670449,public,7,10.0
7,8,120.0,120.0,1200,1,13,3.0,5.428814526898253,8.553876799929503,public,8,10.0
8,2,120.0,120.0,1200,1,13,2.0,6.062866266041594,2.75945932292243,private,8,2.0
8,3,120.0,120.0,1200,1,13,2.0,6.062866266041594,3.816778909618177,private,8,2.0
8,4,120.0,120.0,1200,1,13,2.0,6.062866266041594,4.804497735925725,private,8,2.0
8,7,120.0,120.0,1200,1,13,2.0,6.062866266041594,7.517586466500456,public,7,10.0
8,8,120.0,120.0,1200,1,13,2.0,6.062866266041594,8.365116420730187,public,8,10.0
5,2,120.0,100.0,1200,1,13,6.0,5.477225575051661,4.898979485566357,private,5,6.0
5,4,120.0,100.0,1200,1,13,6.0,5.477225575051661,6.928203230275509,public,4,12.0
5,5,120.0,100.0,1200,1,13,6.0,5.477225575051661,7.745966692414834,public,5,12.0
5,6,120.0,100.0,1200,1,13,6.0,5.477225575051661,8.48528137423857,public,6,12.0
5,7,120.0,100.0,1200,1,13,6.0,5.477225575051661,9.16515138991168,public,7,12.0
5,8,120.0,100.0,1200,1,13,6.0,5.477225575051661,9.797958971132713,public,8,12.0
2,2,109.0909090909091,109.0909090909091,1200,1,13,9.0,6.84662588741313,8.06828604889158,public,2,11.0
2,3,109.0909090909091,109.0909090909091,1200,1,13,9.0,6.84662588741313,8.685561097467119,public,3,11.0
2,4,109.0909090909091,109.0909090909091,1200,1,13,9.0,6.84662588741313,9.15195789791267,public,4,11.0
2,5,109.0909090909091,109.0909090909091,1200,1,13,9.0,6.84662588741313,9.530902261433226,public,5,11.0
2,6,109.0909090909091,109.0909090909091,1200,1,13,9.0,6.84662588741313,9.852140715150716,public,6,11.0
2,7,109.0909090909091,109.0909090909091,1200,1,13,9.0,6.84662588741313,10.132176574446879,public,7,11.0
2,8,109.0909090909091,109.0909090909091,1200,1,13,9.0,6.84662588741313,10.381180446208004,public,8,11.0
2,9,109.0909090909091,109.0909090909091,1200,1,13,9.0,6.84662588741313,10.605891958186177,public,9,11.0
3,2,109.0909090909091,109.0909090909091,1200,1,13,8.0,6.122329457998771,6.909960869717687,public,2,11.0
3,3,109.0909090909091,109.0909090909091,1200,1,13,8.0,6.122329457998771,7.717923630151524,public,3,11.0
3,4,109.0909090909091,109.0909090909091,1200,1,13,8.0,6.122329457998771,8.347850787953712,public,4,11.0
3,5,109.0909090909091,109.0909090909091,1200,1,13,8.0,6.122329457998771,8.871655748205585,public,5,11.0
3,6,109.0909090909091,109.0909090909091,1200,1,13,8.0,6.122329457998771,9.323942070305709,public,6,11.0
3,7,109.0909090909091,109.0909090909091,1200,1,13,8.0,6.122329457998771,9.724287311811738,public,7,11.0
3,8,109.0909090909091,109.0909090909091,1200,1,13,8.0,6.122329457998771,10.084950420390228,public,8,11.0
3,9,109.0909090909091,109.0909090909091,1200,1,13,8.0,6.122329457998771,10.414165027466558,public,9,11.0
4,3,109.0909090909091,109.0909090909091,1200,1,13,7.0,5.711110561542782,6.858088325257651,public,3,11.0
4,4,109.0909090909091,109.0909090909091,1200,1,13,7.0,5.711110561542782,7.6143939422878235,public,4,11.0
4,5,109.0909090909091,109.0909090909091,1200,1,13,7.0,5.711110561542782,8.258008901544814,public,5,11.0
4,6,109.0909090909091,109.0909090909091,1200,1,13,7.0,5.711110561542782,8.824061515557311,public,6,11.0
4,7,109.0909090909091,109.0909090909091,1200,1,13,7.0,5.711110561542782,9.332818375979096,public,7,11.0
4,8,109.0909090909091,109.0909090909091,1200,1,13,7.0,5.711110561542782,9.797173405157398,public,8,11.0
4,9,109.0909090909091,109.0909090909091,1200,1,13,7.0,5.711110561542782,10.225904020792562,public,9,11.0
5,3,109.0909090909091,109.0909090909091,1200,1,13,5.999999999999999,5.522805833526036,6.094045203206023,public,3,11.0
5,4,109.0909090909091,109.0909090909091,1200,1,13,5.999999999999999,5.522805833526036,6.945379904491771,public,4,11.0
5,5,109.0909090909091,109.0909090909091,1200,1,13,5.999999999999999,5.522805833526036,7.686807621202699,public,5,11.0
5,6,109.0909090909091,109.0909090909091,1200,1,13,5.999999999999999,5.522805833526036,8.35098084514232,public,6,11.0
5,7,109.0909090909091,109.0909090909091,1200,1,13,5.999999999999999,5.522805833526036,8.9571087367209,public,7,11.0
5,8,109.0909090909091,109.0909090909091,1200,1,13,5.999999999999999,5.522805833526036,9.517608191375658,public,8,11.0
5,9,109.0909090909091,109.0909090909091,1200,1,13,5.999999999999999,5.522805833526036,10.041046283275573,public,9,11.0
6,2,109.0909090909091,109.0909090909091,1200,1,13,5.0,5.522805833526037,4.340687201911785,private,6,5.0
6,4,109.0909090909091,109.0909090909091,1200,1,13,5.0,5.522805833526037,6.3351466161763135,public,4,11.0
6,5,109.0909090909091,109.0909090909091,1200,1,13,5.0,5.522805833526037,7.155115974060837,public,5,11.0
6,6,109.0909090909091,109.0909090909091,1200,1,13,5.0,5.522805833526037,7.9032632482197025,public,6,11.0
6,7,109.0909090909091,109.0909090909091,1200,1,13,5.0,5.522805833526037,8.596523974787523,public,7,11.0
6,8,109.0909090909091,109.0909090909091,1200,1,13,5.0,5.522805833526037,9.24602045288446,public,8,11.0
6,9,109.0909090909091,109.0909090909091,1200,1,13,5.0,5.522805833526037,9.859530292664322,public,9,11.0
7,2,109.0909090909091,109.0909090909091,1200,1,13,4.0,5.711110561542782,3.717515533180107,private,7,4.0
7,3,109.0909090909091,109.0909090909091,1200,1,13,4.0,5.711110561542782,4.811836540288393,private,7,4.0
7,5,109.0909090909091,109.0909090909091,1200,1,13,4.0,5.711110561542782,6.66020110364754,public,5,11.0
7,6,109.0909090909091,109.0909090909091,1200,1,13,4.0,5.711110561542782,7.479548945079125,public,6,11.0
7,7,109.0909090909091,109.0909090909091,1200,1,13,4.0,5.711110561542782,8.25045521063427,public,7,11.0
7,8,109.0909090909091,109.0909090909091,1200,1,13,4.0,5.711110561542782,8.982182550088917,public,8,11.0
7,9,109.0909090909091,109.0909090909091,1200,1,13,4.0,5.711110561542782,9.681295638869779,public,9,11.0
8,2,109.0909090909091,109.0909090909091,1200,1,13,2.9999999999999996,6.12232945799877,3.183809635798824,private,8,2.9999999999999996
8,3,109.0909090909091,109.0909090909091,1200,1,13,2.9999999999999996,6.12232945799877,4.27576140700321,private,8,2.9999999999999996
8,4,109.0909090909091,109.0909090909091,1200,1,13,2.9999999999999996,6.12232945799877,5.270817737122684,private,8,2.9999999999999996
8,6,109.0909090909091,109.0909090909091,1200,1,13,2.9999999999999996,6.12232945799877,7.0785510573036,public,6,11.0
8,7,109.0909090909091,109.0909090909091,1200,1,13,2.9999999999999996,6.12232945799877,7.91831807627392,public,7,11.0
8,8,109.0909090909091,109.0909090909091,1200,1,13,2.9999999999999996,6.12232945799877,8.725873339156674,public,8,11.0
8,9,109.0909090909091,109.0909090909091,1200,1,13,2.9999999999999996,6.12232945799877,9.506283003860139,public,9,11.0
9,2,109.0909090909091,109.0909090909091,1200,1,13,1.9999999999999996,6.846625887413128,2.72672533753589,private,9,1.9999999999999996
9,3,109.0909090909091,109.0909090909091,1200,1,13,1.9999999999999996,6.846625887413128,3.799409114699966,private,9,1.9999999999999996
9,4,109.0909090909091,109.0909090909091,1200,1,13,1.9999999999999996,6.846625887413128,4.80771442469543,private,9,1.9999999999999996
9,5,109.0909090909091,109.0909090909091,1200,1,13,1.9999999999999996,6.846625887413128,5.770702341850401,private,9,1.9999999999999996
9,7,109.0909090909091,109.0909090909091,1200,1,13,1.9999999999999996,6.846625887413128,7.599551728519248,public,7,11.0
9,8,109.0909090909091,109.0909090909091,1200,1,13,1.9999999999999996,6.846625887413128,8.476877986659437,public,8,11.0
9,9,109.0909090909091,109.0909090909091,1200,1,13,1.9999999999999996,6.846625887413128,9.334434141919264,public,9,11.0
2,2,100.0,200.0,1200,1,13,5.0,4.291871094662786,4.996099065933627,public,2,6.0
2,3,100.0,200.0,1200,1,13,5.0,4.291871094662786,5.345392308842036,public,3,6.0
2,4,100.0,200.0,1200,1,13,5.0,4.291871094662786,5.607931591104403,public,4,6.0
2,5,100.0,200.0,1200,1,13,5.0,4.291871094662786,5.820420692674802,public,5,6.0
2,6,100.0,200.0,1200,1,13,5.0,4.291871094662786,6.0,public,6,6.0
2,7,100.0,200.0,1200,1,13,5.0,4.291871094662786,6.1561479502963765,public,7,6.0
2,8,100.0,200.0,1200,1,13,5.0,4.291871094662786,6.294690380529889,public,8,6.0
2,9,100.0,200.0,1200,1,13,5.0,4.291871094662786,6.419479163601977,public,9,6.0
2,10,100.0,200.0,1200,1,13,5.0,4.291871094662786,6.533201332722018,public,10,6.0
4,3,100.0,200.0,1200,1,13,4.0,4.0,4.762203155904597,public,3,6.0
4,4,100.0,200.0,1200,1,13,4.0,4.0,5.241482788417792,public,4,6.0
4,5,100.0,200.0,1200,1,13,4.0,4.0,5.64621617328617,public,5,6.0
