a,b,c,x,f
10,6,-18,1.6666666666666667,-22.89174376234009
20,8,30,2.5,28.325814637483102
1,1,34,1.0,33.0
1,1,33,1.0,32.0
4,3,-34,1.3333333333333333,-36.84927171019288
15,8,2,1.875,-3.570870108664389
6,3,-9,2.0,-10.841116916640328
17,1,47,17.0,78.16462684895568
2,5,-6,0.4,-9.83258146374831
19,3,-18,6.333333333333333,-1.9292928805317189
12,4,-26,3.0,-24.816652535982684
11,1,-15,11.0,0.3768480007820756
18,3,-43,6.0,-28.74832955389501
18,8,25,2.25,21.59674389189392
4,2,23,2.0,21.77258872223978
22,4,-50,5.5,-34.495541970754644
16,3,-9,5.333333333333333,1.7836229371467454
3,3,-44,1.0,-47.0
8,7,-17,1.1428571428571428,-23.931748859003818
10,8,36,1.25,28.231435513142095
3,7,17,0.42857142857142855,11.458106418838389
10,2,21,5.0,27.094379124341003
11,8,30,1.375,22.502991042303883
4,6,6,0.6666666666666666,0.37813956756734246
9,6,-7,1.5,-12.35081402702652
20,3,-11,6.666666666666667,6.942399697717626
23,6,-50,3.8333333333333335,-42.09410082587482
8,1,-41,8.0,-32.36446766656131
20,3,-16,6.666666666666667,1.9423996977176259
5,4,-49,1.25,-52.88428224342895
4,2,33,2.0,31.77258872223978
17,6,49,2.8333333333333335,49.70471587207874
16,7,36,2.2857142857142856,33.22685717095149
21,6,9,3.5,14.30802233840273
5,3,-45,1.6666666666666667,-47.44587188117005
11,7,-23,1.5714285714285714,-29.02816363882637
6,5,2,1.2,-2.9060706592362724
18,4,-5,4.5,4.073393141972936
10,1,-35,10.0,-21.97414907005954
22,8,-10,2.75,-9.744779943073443
15,7,1,2.142857142857143,-2.5678992192965495
23,4,37,5.75,54.23159666061296
13,6,33,2.1666666666666665,30.051468547035263
20,8,41,2.5,39.325814637483106
24,3,-23,8.0,2.9065970003160544
2,1,30,2.0,29.38629436111989
24,6,-13,4.0,-3.728935333122628
11,1,49,11.0,64.37684800078208
4,4,45,1.0,41.0
22,1,-12,22.0,34.00293397388296
6,2,46,3.0,46.59167373200866
23,1,-15,23.0,34.116366966370435
11,7,-28,1.5714285714285714,-34.02816363882637
23,6,2,3.8333333333333335,9.905899174125178
7,1,29,7.0,35.62137104338719
24,3,39,8.0,64.90659700031605
16,6,4,2.6666666666666665,3.693268048187619
6,1,31,6.0,35.75055681536833
3,7,29,0.42857142857142855,23.45810641883839
22,6,-17,3.6666666666666665,-10.41577434913426
17,7,-47,2.4285714285714284,-48.91584568498465
17,2,24,8.5,43.381124779436604
17,1,7,17.0,38.16462684895568
3,4,8,0.75,4.136953782644657
6,5,5,1.2,0.09392934076372761
4,8,25,0.5,18.22741127776022
3,2,-40,1.5,-41.783604675675505
5,3,38,1.6666666666666667,35.55412811882995
11,8,-19,1.375,-26.497008957696117
1,3,4,0.3333333333333333,1.90138771133189
21,2,22,10.5,50.37888040043303
24,4,49,6.0,68.00222726147332
5,4,-14,1.25,-17.884282243428952
6,4,-10,1.5,-13.567209351351014
7,5,6,1.4,1.3553056563484898
21,8,-6,2.625,-6.733301183084674
18,6,-36,3.0,-34.224978803974025
10,4,-27,2.5,-27.837092681258447
12,3,41,4.0,45.63553233343869
24,5,15,4.8,28.646782029932282
4,1,-7,4.0,-5.454822555520438
2,2,-16,1.0,-18.0
16,5,36,3.2,38.6104129568909
3,6,-38,0.5,-43.079441541679834
2,3,36,0.6666666666666666,33.18906978378367
5,4,-27,1.25,-30.884282243428952
9,7,-13,1.2857142857142858,-19.738170145471845
8,3,50,2.6666666666666665,49.84663402409381
1,2,49,0.5,47.30685281944005
12,2,-45,6.0,-35.49888636926334
19,4,-9,4.75,1.6047477428844488
4,7,30,0.5714285714285714,23.76153684825831
11,8,13,1.375,5.502991042303881
24,6,-32,4.0,-22.728935333122628
21,5,-22,4.2,-12.863224968924222
19,2,7,9.5,30.77454417352341
24,8,43,3.0,45.36669492803463
13,5,47,2.6,46.42164878535667
16,6,18,2.6666666666666665,17.69326804818762
20,5,-15,4.0,-7.274112777602188
16,3,1,5.333333333333333,11.783622937146745
2,1,-31,2.0,-31.61370563888011
21,5,27,4.2,36.13677503107578
1,4,-9,0.25,-11.38629436111989
24,1,24,24.0,76.2732919283507
15,3,21,5.0,30.141568686511505
18,6,31,3.0,32.775021196025975
6,7,9,0.8571428571428571,2.07509592103645
13,1,31,13.0,51.34434164699998
2,2,-46,1.0,-48.0
15,8,49,1.875,43.42912989133561
19,5,38,3.8,44.36502026791446
4,1,13,4.0,14.545177444479563
12,5,9,2.4,7.505624848246798
1,7,-38,0.14285714285714285,-40.945910149055315
17,3,-42,5.666666666666667,-29.51178205840219
20,1,26,20.0,65.91464547107981
22,7,15,3.142857142857143,18.192910694666057
14,5,27,2.8,27.414671840536215
12,6,-2,2.0,-5.682233833280657
2,8,-26,0.25,-30.77258872223978
4,2,40,2.0,38.77258872223978
21,4,-11,5.25,2.822789608674178
18,5,23,3.6,28.056809218317156
10,6,32,1.6666666666666667,27.10825623765991
5,5,8,1.0,3.0
18,2,27,9.0,48.55004239205195
8,6,17,1.3333333333333333,11.301456579614246
19,3,-3,6.333333333333333,13.070707119468281
1,6,5,0.16666666666666666,2.208240530771945
5,3,-44,1.6666666666666667,-46.44587188117005
7,5,-15,1.4,-19.64469434365151
10,1,15,10.0,28.02585092994046
13,5,-35,2.6,-35.57835121464333
21,4,-35,5.25,-21.177210391325822
18,5,11,3.6,16.056809218317156
21,7,34,3.0,36.070858062030304
4,8,8,0.5,1.2274112777602184
24,5,20,4.8,33.64678202993228
13,1,-13,13.0,7.344341646999979
13,4,28,3.25,30.322514952441402
2,3,20,0.6666666666666666,17.189069783783673
2,8,45,0.25,40.22741127776022
19,5,39,3.8,45.36502026791446
10,2,40,5.0,46.094379124341
14,7,-35,2.0,-39.29593947216077
8,8,-20,1.0,-28.0
6,3,44,2.0,42.15888308335967
14,6,31,2.3333333333333335,28.862170045420854
5,7,36,0.7142857142857143,29.317638816893936
15,3,22,5.0,31.141568686511505
20,7,49,2.857142857142857,49.99644248997355
7,3,49,2.3333333333333335,47.93108502271043
20,3,-36,6.666666666666667,-18.057600302282374
21,8,-24,2.625,-24.733301183084674
5,5,-44,1.0,-49.0
22,2,-48,11.0,-17.24630399843585
21,8,29,2.625,28.266698816915326
18,1,-1,18.0,33.02669164213096
5,1,18,5.0,21.0471895621705
11,5,45,2.2,42.67303096400697
4,8,-24,0.5,-30.77258872223978
22,5,-44,4.4,-33.40470009966726
22,4,4,5.5,19.504458029245356
17,1,17,17.0,48.16462684895568
5,7,8,0.7142857142857143,1.3176388168939352
12,4,-45,3.0,-43.81665253598268
16,1,-23,16.0,5.361419555836498
15,4,7,3.75,11.826337599734792
11,2,50,5.5,57.75222901462268
7,8,30,0.875,22.06528025162834
18,2,43,9.0,64.55004239205195
24,2,-15,12.0,20.637759594912012
21,8,17,2.625,16.266698816915326
10,4,24,2.5,23.162907318741553
23,5,7,4.6,19.099294980386134
6,5,18,1.2,13.093929340763728
13,2,31,6.5,42.33342829972069
8,1,-19,8.0,-10.364467666561314
8,4,-38,2.0,-40.45482255552044
23,8,38,2.875,39.289211507734215
11,3,-17,3.6666666666666665,-13.70788717456713
22,6,34,3.6666666666666665,40.58422565086574
13,8,8,1.625,1.311601605162111
21,2,-37,10.5,-8.621119599566967
11,3,42,3.6666666666666665,45.292112825432866
24,8,-21,3.0,-18.633305071965367
17,2,1,8.5,20.381124779436604
10,3,26,3.3333333333333335,28.03972804325936
8,8,22,1.0,14.0
20,3,10,6.666666666666667,27.942399697717626
14,2,-47,7.0,-33.757257913225615
15,5,31,3.0,32.479184330021646
7,8,-35,0.875,-42.934719748371656
14,6,-33,2.3333333333333335,-35.137829954579146
10,1,36,10.0,49.02585092994046
21,4,44,5.25,57.82278960867418
13,7,-34,1.8571428571428572,-38.9524902907191
1,1,6,1.0,5.0
19,4,33,4.75,43.60474774288445
10,8,46,1.25,38.231435513142095
18,2,-6,9.0,15.55004239205195
15,2,-42,7.5,-26.77645469186603
17,5,31,3.4,34.804182337575966
10,2,-39,5.0,-32.905620875659
20,8,13,2.5,11.325814637483102
11,5,39,2.2,36.67303096400697
16,8,-36,2.0,-40.909645111040874
21,1,-43,21.0,-0.06502880780811893
19,4,-4,4.75,6.604747742884449
6,3,-35,2.0,-36.84111691664033
4,5,42,0.8,37.107425794743165
10,7,-41,1.4285714285714286,-47.43325056061268
20,2,38,10.0,64.05170185988092
20,2,12,10.0,38.05170185988092
20,8,37,2.5,35.325814637483106
8,2,-1,4.0,2.0903548889591246
4,3,49,1.3333333333333333,46.15072828980712
1,6,20,0.16666666666666666,17.208240530771945
7,2,-45,3.5,-43.230659220532424
19,7,-3,2.7142857142857144,-3.0279522278885835
10,6,13,1.6666666666666667,8.108256237659907
23,4,50,5.75,67.23159666061295
20,5,16,4.0,23.725887222397812
21,8,6,2.625,5.266698816915326
1,2,38,0.5,36.30685281944005
11,5,-31,2.2,-33.32696903599303
3,6,-23,0.5,-28.079441541679834
23,5,-14,4.6,-1.9007050196138664
8,7,16,1.1428571428571428,9.06825114099618
6,1,32,6.0,36.75055681536833
8,6,39,1.3333333333333333,33.301456579614246
7,8,-34,0.875,-41.934719748371656
6,2,-30,3.0,-29.40832626799134
22,8,-11,2.75,-10.744779943073443
14,5,39,2.8,39.414671840536215
8,7,28,1.1428571428571428,21.068251140996182
2,1,1,2.0,0.3862943611198906
22,4,25,5.5,40.504458029245356
9,2,-44,4.5,-39.463303429013536
8,7,9,1.1428571428571428,2.06825114099618
16,8,-10,2.0,-14.909645111040875
4,4,6,1.0,2.0
1,7,21,0.14285714285714285,18.054089850944685
4,4,-20,1.0,-24.0
15,4,-14,3.75,-9.173662400265208
13,1,23,13.0,43.34434164699998
21,6,31,3.5,36.30802233840273
4,6,-43,0.6666666666666666,-48.621860432432655
6,3,-9,2.0,-10.841116916640328
5,8,-39,0.625,-46.35001814622868
5,3,-18,1.6666666666666667,-20.445871881170046
12,3,48,4.0,52.63553233343869
15,2,-39,7.5,-23.77645469186603
20,7,42,2.857142857142857,42.99644248997355
1,1,-28,1.0,-29.0
8,6,4,1.3333333333333333,-1.6985434203857537
17,5,5,3.4,8.804182337575966
7,6,-44,1.1666666666666667,-49.92094524120919
17,2,34,8.5,53.381124779436604
13,8,28,1.625,21.31160160516211
14,4,-28,3.5,-24.461318441064847
15,3,11,5.0,20.141568686511505
22,6,37,3.6666666666666665,43.58422565086574
5,4,28,1.25,24.115717756571048
24,8,47,3.0,49.36669492803463
10,2,-17,5.0,-10.905620875658997
16,7,13,2.2857142857142856,10.226857170951487
8,4,-5,2.0,-7.454822555520438
2,8,5,0.25,0.2274112777602184
17,3,-16,5.666666666666667,-3.51178205840219
1,5,-26,0.2,-28.6094379124341
2,2,-41,1.0,-43.0
5,1,8,5.0,11.047189562170502
4,7,35,0.5714285714285714,28.76153684825831
15,2,-24,7.5,-8.776454691866029
10,3,14,3.3333333333333335,16.03972804325936
4,6,-22,0.6666666666666666,-27.62186043243266
14,6,-5,2.3333333333333335,-7.137829954579148
21,4,19,5.25,32.82278960867418
23,4,-8,5.75,9.231596660612958
15,4,-35,3.75,-30.173662400265208
20,6,37,3.3333333333333335,41.07945608651872
21,5,44,4.2,53.13677503107578
10,6,-28,1.6666666666666667,-32.89174376234009
5,7,23,0.7142857142857143,16.317638816893936
22,6,20,3.6666666666666665,26.58422565086574
24,2,-12,12.0,23.637759594912012
23,2,43,11.5,76.17398181349171
2,1,17,2.0,16.38629436111989
19,5,34,3.8,40.36502026791446
12,7,-19,1.7142857142857142,-24.532041991207755
15,7,30,2.142857142857143,26.43210078070345
19,1,-22,19.0,14.944340604162363
4,3,42,1.3333333333333333,39.15072828980712
14,1,47,14.0,69.94680261461362
5,4,36,1.25,32.11571775657105
9,5,11,1.8,7.290079984119071
12,3,17,4.0,21.635532333438686
24,7,17,3.4285714285714284,22.571448351023175
5,5,3,1.0,-2.0
17,1,36,17.0,67.16462684895568
24,1,34,24.0,86.2732919283507
2,3,46,0.6666666666666666,43.18906978378367
3,2,-34,1.5,-35.783604675675505
5,7,-42,0.7142857142857143,-48.68236118310607
17,1,-25,17.0,6.1646268489556775
3,4,-43,0.75,-46.86304621735534
23,1,21,23.0,70.11636696637044
10,2,32,5.0,38.094379124341
13,2,43,6.5,54.33342829972069
16,7,26,2.2857142857142856,23.226857170951487
10,6,-45,1.6666666666666667,-49.89174376234009
18,8,38,2.25,34.59674389189392
5,4,-50,1.25,-53.88428224342895
1,1,-38,1.0,-39.0
8,7,23,1.1428571428571428,16.068251140996182
8,1,20,8.0,28.635532333438686
20,7,-25,2.857142857142857,-24.003557510026447
8,1,-46,8.0,-37.36446766656131
10,7,-19,1.4285714285714286,-25.433250560612677
20,5,-47,4.0,-39.274112777602184
12,2,-40,6.0,-30.49888636926334
15,5,45,3.0,46.479184330021646
6,6,30,1.0,24.0
24,5,-25,4.8,-11.353217970067718
6,2,33,3.0,33.59167373200866
21,5,7,4.2,16.13677503107578
7,4,43,1.75,39.91731051554796
22,8,-10,2.75,-9.744779943073443
20,4,-38,5.0,-25.811241751317993
15,1,-26,15.0,-0.3792469834668495
23,6,-32,3.8333333333333335,-24.094100825874822
4,8,-2,0.5,-8.772588722239782
3,4,-36,0.75,-39.86304621735534
10,4,1,2.5,0.16290731874155107
14,3,-12,4.666666666666667,-4.433769426739914
20,1,-2,20.0,37.914645471079815
22,6,-5,3.6666666666666665,1.58422565086574
21,2,-6,10.5,22.378880400433033
15,2,-40,7.5,-24.77645469186603
7,6,5,1.1666666666666667,-0.920945241209191
15,3,-10,5.0,-0.8584313134884951
22,4,35,5.5,50.504458029245356
20,2,46,10.0,72.05170185988092
7,8,5,0.875,-2.9347197483716583
18,6,-9,3.0,-7.224978803974025
23,3,47,7.666666666666667,70.84828432700392
5,6,46,0.8333333333333334,40.08839221603023
21,1,46,21.0,88.93497119219188
18,4,-14,4.5,-4.926606858027064
13,4,-38,3.25,-35.6774850475586
19,6,22,3.1666666666666665,24.90091068882932
8,7,-2,1.1428571428571428,-8.93174885900382
17,3,7,5.666666666666667,19.48821794159781
5,2,-10,2.5,-10.418546340629224
18,7,-49,2.5714285714285716,-49.999691040864676
22,7,-48,3.142857142857143,-44.807089305333946
14,5,36,2.8,36.414671840536215
1,4,43,0.25,40.613705638880106
15,3,36,5.0,45.141568686511505
23,4,-50,5.75,-32.76840333938704
4,5,-33,0.8,-37.892574205256835
24,6,-6,4.0,3.271064666877372
5,1,1,5.0,4.047189562170502
21,6,-37,3.5,-31.69197766159727
4,1,42,4.0,43.54517744447956
15,6,7,2.5,5.744360978112326
20,6,-24,3.3333333333333335,-19.92054391348128
19,7,33,2.7142857142857144,32.97204777211142
5,6,-20,0.8333333333333334,-25.91160778396977
9,7,31,1.2857142857142858,24.261829854528155
23,7,2,3.2857142857142856,6.360433538098238
2,4,-48,0.5,-51.386294361119894
13,8,-44,1.625,-50.68839839483789
1,7,19,0.14285714285714285,16.054089850944685
18,6,-14,3.0,-12.224978803974025
17,8,-17,2.125,-21.185879359601536
18,4,37,4.5,46.073393141972936
11,5,-30,2.2,-32.32696903599303
19,5,40,3.8,46.36502026791446
21,5,-28,4.2,-18.86322496892422
11,2,21,5.5,28.752229014622678
12,1,-16,12.0,1.818879797456006
16,7,48,2.2857142857142856,45.22685717095149
13,7,21,1.8571428571428572,16.047509709280906
12,1,-34,12.0,-16.181120202543994
21,3,-32,7.0,-12.135886869838423
2,6,49,0.3333333333333333,44.80277542266378
1,4,-23,0.25,-25.38629436111989
10,4,12,2.5,11.162907318741551
11,6,-23,1.8333333333333333,-27.33250616072653
23,5,49,4.6,61.099294980386134
19,4,19,4.75,29.60474774288445
6,8,49,0.75,41.27390756528931
24,4,6,6.0,25.002227261473323
7,1,-39,7.0,-32.37862895661281
7,3,-4,2.3333333333333335,-5.068914977289574
23,3,-50,7.666666666666667,-26.151715672996076
5,7,48,0.7142857142857143,41.31763881689393
23,6,-10,3.8333333333333335,-2.094100825874822
16,2,-23,8.0,-5.728935333122628
3,3,-46,1.0,-49.0
24,4,-27,6.0,-7.9977727385266775
23,3,-29,7.666666666666667,-5.151715672996076
24,3,-12,8.0,13.906597000316054
6,3,-9,2.0,-10.841116916640328
3,1,-37,3.0,-36.70416313399567
18,2,-20,9.0,1.5500423920519495
8,7,-17,1.1428571428571428,-23.931748859003818
5,6,-25,0.8333333333333334,-30.91160778396977
9,1,1,9.0,11.775021196025975
22,2,25,11.0,55.75369600156415
9,3,-37,3.0,-36.11248940198701
16,2,26,8.0,43.27106466687737
4,3,7,1.3333333333333333,4.150728289807123
8,6,-1,1.3333333333333333,-6.698543420385754
14,2,25,7.0,38.242742086774385
19,8,-40,2.375,-42.56504868775451
19,8,8,2.375,5.4349513122454844
22,3,-28,7.333333333333333,-6.166536376815465
17,6,-30,2.8333333333333335,-29.29528412792126
7,5,-20,1.4,-24.64469434365151
16,1,6,16.0,34.3614195558365
19,3,-22,6.333333333333333,-5.929292880531719
18,4,29,4.5,38.073393141972936
23,6,27,3.8333333333333335,34.90589917412518
18,1,-42,18.0,-7.973308357869037
7,1,21,7.0,27.621371043387192
23,2,17,11.5,50.1739818134917
14,1,17,14.0,39.94680261461362
2,6,-9,0.3333333333333333,-13.19722457733622
2,2,28,1.0,26.0
13,6,41,2.1666666666666665,38.05146854703526
21,2,24,10.5,52.37888040043303
14,2,-6,7.0,7.242742086774385
3,6,43,0.5,37.920558458320166
11,6,46,1.8333333333333333,41.66749383927347
21,7,-22,3.0,-19.929141937969696
21,6,6,3.5,11.30802233840273
19,2,-39,9.5,-15.22545582647659
4,8,-5,0.5,-11.772588722239782
11,6,-16,1.8333333333333333,-20.33250616072653
22,2,37,11.0,67.75369600156415
21,6,-31,3.5,-25.69197766159727
13,8,-16,1.625,-22.68839839483789
18,8,-19,2.25,-22.40325610810608
13,2,7,6.5,18.333428299720687
4,5,18,0.8,13.107425794743161
5,8,-2,0.625,-9.350018146228678
9,3,28,3.0,28.887510598012987
18,3,2,6.0,16.25167044610499
6,3,41,2.0,39.15888308335967
23,4,-44,5.75,-26.768403339387042
1,7,-46,0.14285714285714285,-48.945910149055315
22,5,-4,4.4,6.595299900332741
12,2,5,6.0,14.501113630736661
15,2,17,7.5,32.22354530813397
20,6,22,3.3333333333333335,26.07945608651872
18,1,-23,18.0,11.026691642130963
18,8,32,2.25,28.59674389189392
4,5,-37,0.8,-41.892574205256835
3,7,34,0.42857142857142855,28.45810641883839
23,2,28,11.5,61.1739818134917
13,8,13,1.625,6.311601605162111
21,8,20,2.625,19.266698816915326
14,3,-13,4.666666666666667,-5.433769426739914
6,4,12,1.5,8.432790648648986
22,3,-28,7.333333333333333,-6.166536376815465
14,6,48,2.3333333333333335,45.862170045420854
6,3,-17,2.0,-18.841116916640328
7,5,-25,1.4,-29.64469434365151
13,4,42,3.25,44.3225149524414
13,1,-44,13.0,-23.65565835300002
2,5,17,0.4,13.16741853625169
13,6,-49,2.1666666666666665,-51.94853145296474
9,3,45,3.0,45.88751059801299
6,4,-37,1.5,-40.56720935135101
12,3,23,4.0,27.635532333438686
18,8,45,2.25,41.59674389189392
9,5,-18,1.8,-21.70992001588093
21,4,-37,5.25,-23.177210391325822
21,2,-19,10.5,9.378880400433033
24,4,-4,6.0,15.002227261473323
14,8,6,1.75,-0.16537896890408277
3,4,-1,0.75,-4.863046217355343
4,5,15,0.8,10.107425794743161
3,8,-26,0.375,-31.942487759035178
5,8,-4,0.625,-11.350018146228678
20,8,-30,2.5,-31.674185362516898
20,3,38,6.666666666666667,55.942399697717626
7,7,-2,1.0,-9.0
4,3,35,1.3333333333333333,32.15072828980712
21,2,-12,10.5,16.378880400433033
4,1,30,4.0,31.545177444479563
19,2,28,9.5,51.77454417352341
1,8,-2,0.125,-5.079441541679836
7,7,37,1.0,30.0
21,4,3,5.25,16.822789608674178
6,8,43,0.75,35.27390756528931
10,3,-46,3.3333333333333335,-43.96027195674064
12,1,-3,12.0,14.818879797456006
23,2,25,11.5,58.1739818134917
21,4,-11,5.25,2.822789608674178
23,5,-33,4.6,-20.900705019613866
6,6,17,1.0,11.0
10,8,45,1.25,37.231435513142095
6,3,-3,2.0,-4.8411169166403285
13,7,41,1.8571428571428572,36.0475097092809
19,2,-22,9.5,1.7745441735234095
11,2,-22,5.5,-14.247770985377322
14,4,-15,3.5,-11.461318441064847
21,2,-34,10.5,-5.621119599566967
6,5,-23,1.2,-27.90607065923627
23,6,22,3.8333333333333335,29.905899174125178
22,2,-35,11.0,-4.246303998435849
23,1,22,23.0,71.11636696637044
20,7,6,2.857142857142857,6.996442489973553
8,6,37,1.3333333333333333,31.301456579614246
19,5,-30,3.8,-23.63497973208554
24,1,-7,24.0,45.2732919283507
18,2,29,9.0,50.55004239205195
23,8,24,2.875,25.289211507734215
4,1,-2,4.0,-0.4548225555204377
17,6,-42,2.8333333333333335,-41.29528412792126
18,7,1,2.5714285714285716,0.0003089591353280241
22,4,-38,5.5,-22.495541970754644
9,8,16,1.125,8.06004732090745
19,6,32,3.1666666666666665,34.90091068882932
19,8,10,2.375,7.4349513122454844
11,6,-20,1.8333333333333333,-24.33250616072653
5,5,-28,1.0,-33.0
20,6,-49,3.3333333333333335,-44.92054391348128
1,4,8,0.25,5.613705638880109
7,4,27,1.75,23.91731051554796
1,3,25,0.3333333333333333,22.90138771133189
3,2,-42,1.5,-43.783604675675505
2,4,13,0.5,9.61370563888011
2,3,2,0.6666666666666666,-0.8109302162163288
7,3,-40,2.3333333333333335,-41.06891497728957
4,5,-40,0.8,-44.892574205256835
4,4,-8,1.0,-12.0
2,1,-43,2.0,-43.61370563888011
2,3,50,0.6666666666666666,47.18906978378367
18,4,-4,4.5,5.073393141972936
5,1,41,5.0,44.0471895621705
24,5,-50,4.8,-36.35321797006772
17,4,4,4.25,11.59762270991753
10,5,40,2.0,36.93147180559945
23,2,33,11.5,66.17398181349171
11,5,-23,2.2,-25.326969035993027
6,6,-28,1.0,-34.0
1,4,-43,0.25,-45.386294361119894
12,8,-2,1.5,-9.134418702702028
22,2,40,11.0,70.75369600156415
11,6,-19,1.8333333333333333,-23.33250616072653
15,2,-41,7.5,-25.77645469186603
20,7,2,2.857142857142857,2.9964424899735533
18,6,-11,3.0,-9.224978803974025
17,5,3,3.4,6.804182337575966
6,1,-34,6.0,-29.24944318463167
6,4,-5,1.5,-8.567209351351014
24,8,7,3.0,9.366694928034633
17,5,5,3.4,8.804182337575966
2,2,-49,1.0,-51.0
12,2,-23,6.0,-13.498886369263339
6,3,48,2.0,46.15888308335967
2,6,-34,0.3333333333333333,-38.19722457733622
8,2,25,4.0,28.090354888959126
23,6,23,3.8333333333333335,30.905899174125178
16,2,11,8.0,28.271064666877372
17,6,16,2.8333333333333335,16.70471587207874
19,2,-6,9.5,17.77454417352341
22,7,40,3.142857142857143,43.192910694666054
24,8,-20,3.0,-17.633305071965367
12,4,7,3.0,8.183347464017316
22,2,-35,11.0,-4.246303998435849
7,4,48,1.75,44.91731051554796
19,8,-50,2.375,-52.56504868775451
3,5,-32,0.6,-36.53247687129797
12,7,49,1.7142857142857142,43.467958008792245
5,7,-46,0.7142857142857143,-52.68236118310607
10,8,-5,1.25,-12.768564486857903
6,1,-10,6.0,-5.249443184631669
11,1,-36,11.0,-20.623151999217924
6,8,11,0.75,3.2739075652893144
17,8,-17,2.125,-21.185879359601536
18,2,34,9.0,55.55004239205195
16,7,21,2.2857142857142856,18.226857170951487
14,6,44,2.3333333333333335,41.862170045420854
24,2,26,12.0,61.63775959491201
7,2,25,3.5,26.769340779467576
8,1,43,8.0,51.63553233343869
19,4,-9,4.75,1.6047477428844488
15,6,-36,2.5,-37.255639021887674
10,4,-2,2.5,-2.837092681258449
7,6,-3,1.1666666666666667,-8.920945241209191
15,2,8,7.5,23.22354530813397
24,8,-45,3.0,-42.63330507196537
12,6,29,2.0,25.317766166719345
15,7,-13,2.142857142857143,-16.56789921929655
14,7,47,2.0,42.70406052783923
15,4,30,3.75,34.82633759973479
21,1,34,21.0,76.93497119219188
7,4,17,1.75,13.917310515547959
18,3,10,6.0,24.25167044610499
17,5,-14,3.4,-10.195817662424034
2,4,38,0.5,34.613705638880106
1,3,-28,0.3333333333333333,-30.09861228866811
3,5,4,0.6,-0.5324768712979724
4,2,-2,2.0,-3.227411277760219
24,1,14,24.0,66.2732919283507
21,3,32,7.0,51.86411313016158
24,5,1,4.8,14.646782029932282
12,2,29,6.0,38.50111363073666
10,3,-13,3.3333333333333335,-10.96027195674064
11,6,-50,1.8333333333333333,-54.33250616072653
22,2,9,11.0,39.75369600156415
21,6,-34,3.5,-28.69197766159727
8,3,-50,2.6666666666666665,-50.15336597590619
